"编号","日期","类型","热量/kcal","餐品描述","照片"
"a03c0fc0","2015-12-01","早餐","0","蛋糕+旺仔牛奶","upload/photo/2015-12-01/fea4d4d910b6ef0b6431e55a4ec246fb.jpg"
"a03c0fc0","2015-12-01","午餐","0","哈乐咖喱饭。鸡腿+香肠","upload/photo/2015-12-01/816af617f3ff4b715eb112903e13129d.jpg"
"a03c0fc0","2015-12-01","晚餐","0","土豆炒鸡肉+青菜（吃完了才拍的）","upload/photo/2015-12-01/debee71fb9da209b05d2796f3a919a47.jpg"
"a03c0fc0","2015-12-02","早餐","0","牛奶+蛋糕","upload/photo/2015-12-02/9ac84bf70ba5684a08dac710a8fd5699.jpg"
"a03c0fc0","2015-12-02","午餐","0","土豆丝-荷包蛋-鸡腿+青菜","upload/photo/2015-12-02/02bf702e96e304d8c1b3ff9ae38a2464.jpg"
"a03c0fc0","2015-12-02","晚餐","0","鸡肉汉堡","upload/photo/2015-12-02/8520fe6271e1a02ad174c944ba78e896.jpg"
"a03c0fc0","2015-12-03","早餐","682","2个肉包+绿豆粥+鸡蛋","upload/photo/2015-12-03/57b500c7ee7d1ea4454a2fb579dfcbb3.jpg"
"a03c0fc0","2015-12-03","午餐","896","米饭+东坡肉+鱼排+番茄炒鸡蛋","upload/photo/2015-12-03/0998ff18038deb9670b596c1b4b56b58.jpg"
"a03c0fc0","2015-12-03","晚餐","292","鸡肉汉堡","upload/photo/2015-12-03/3907a3581c4ee51a19c1751dbc822644.jpg"
"a03c0fc0","2015-12-04","早餐","480","小笼包+荷包蛋+绿豆粥（吃完了部分才想起来拍）","upload/photo/2015-12-04/927eb3a09f7f6e48dd126e69ebc5d756.jpg"
"a03c0fc0","2015-12-04","午餐","508","如图。鸡块+土豆炒绿XX+米饭","upload/photo/2015-12-04/fff51332bf035a3756b4bf35d2b5c144.jpg"
"a03c0fc0","2015-12-04","晚餐","0","豆角+炸鸡肉炒土豆+米饭","upload/photo/2015-12-04/8b257d9c6804d87865f02a70df2cf8c0.jpg"
"a03c0fc0","2015-12-05","早餐","0","2份小馄饨+荷包蛋（二餐吃的忘了拍）","upload/photo/2015-12-05/8f1d4f63fcfa90a6512857790e8d1cba.jpg"
"a03c0fc0","2015-12-05","午餐","0","蛋包饭（鸡块番茄炒蛋）","upload/photo/2015-12-05/bd4c9509e7b845b248d7ad8d8d7efb32.jpg"
"a03c0fc0","2015-12-05","晚餐","0","土豆丝+青菜+鸡腿+米饭","upload/photo/2015-12-05/28030fe313c75482307371187ced71a5.jpg"
"a03c0fc0","2015-12-06","早餐","324","鸡蛋煎饼+黑米粥","upload/photo/2015-12-06/c99e4faadb66ef1e3261f29df26264b3.jpg"
"a03c0fc0","2015-12-06","午餐","0","豆角+鸡中翅（不知道怎么叫这种烧法）+番茄炒蛋+米饭","upload/photo/2015-12-06/8518a93700e2cfe50f67133f12f62e1e.jpg"
"a03c0fc0","2015-12-06","晚餐","0","鸡腿堡+旺仔牛奶","upload/photo/2015-12-06/433cca135054a1416268e90f3ed8992e.jpg"
"a03c0fc0","2015-12-07","早餐","384","旺仔+4个面包（图里只有2个）","upload/photo/2015-12-07/cda5fcf62f1d059018cca7a8c2bd4102.jpg"
"a03c0fc0","2015-12-07","午餐","0","四餐的三鲜米线（忘了拍","upload/photo/2015-12-07/7e6afc464decc4c99bd85583574ff4fc.jpg"
"a03c0fc0","2015-12-07","晚餐","0","三餐二楼黄焖鸡","upload/photo/2015-12-07/d0f9612e2f73e45b6b8c62c0486975be.jpg"
