"编号","日期","类型","热量/kcal","餐品描述","照片"
"a347b2d0","2015-12-01","早餐","400","小混沌热气腾腾，口感极佳。","upload/photo/2015-12-01/2f06e3db2add410309a46aa9b2c6109d.jpg"
"a347b2d0","2015-12-01","午餐","560","交大第二餐饮二楼大众餐厅","upload/photo/2015-12-01/6abd701379e55d502c08685ddbd6727a.jpg"
"a347b2d0","2015-12-01","晚餐","820","和一位朋友到校外的猫岛饭店吃晚饭，炒了几道菜，分别有青椒馕肉，红烧肥肠，土豆炖牛腩和西湖牛肉羹。","upload/photo/2015-12-01/aee1fc99caa0a2444923bb5f181502c9.jpg"
"a347b2d0","2015-12-02","早餐","400","交大一餐一碗白粥配上一个莲蓉包和一个糯米包。","upload/photo/2015-12-02/03db2a0a2122809e36a9b9c6567cd763.jpg"
"a347b2d0","2015-12-02","午餐","550","交大二餐二楼的大众餐厅。","upload/photo/2015-12-02/9acfde94be871b5aaa90ce2c8a9513fa.jpg"
"a347b2d0","2015-12-02","晚餐","650","交大二餐二楼的大众餐厅。","upload/photo/2015-12-02/bd99203b34f702b8d97d53acb49c634f.jpg"
"a347b2d0","2015-12-03","早餐","600","交大一餐一碗白粥+粽子+一个肉包","upload/photo/2015-12-03/9877b99f391fcded7d5490ac376c33be.jpg"
"a347b2d0","2015-12-03","午餐","580","交大二餐二楼大众餐厅，青菜+豆腐+肉丸子","upload/photo/2015-12-03/afa7fb1e41d148fe6754b5c8543f4a99.jpg"
"a347b2d0","2015-12-03","晚餐","400","交大二餐二楼大众餐厅，西兰花+米粉+青椒炒火腿","upload/photo/2015-12-03/7c285f942d59e3baa6ed837e0aa50900.jpg"
"a347b2d0","2015-12-04","早餐","310","交大一餐，一碗白粥+八个小笼包","upload/photo/2015-12-04/57de5bda64776aaef1b31fe3af19da0d.jpg"
"a347b2d0","2015-12-04","午餐","430","交大二餐二楼大众餐厅，冬瓜炖排骨+香菇+青菜","upload/photo/2015-12-04/390b4e3005fa4ca94e00f789ad9b7c86.jpg"
"a347b2d0","2015-12-04","晚餐","440","交大二餐一楼上海快餐，马铃薯炒猪肉+土豆牛腩+青菜","upload/photo/2015-12-04/253a340a37f0943d695abf96de7110fb.jpg"
"a347b2d0","2015-12-05","早餐","400","交大二餐江南小吃——小混沌","upload/photo/2015-12-05/c19276c31bf901b76c36c8de352b5173.jpg"
"a347b2d0","2015-12-05","午餐","520","交大二餐一楼上海快餐，鸭腿+花菜+包菜。（差不多吃完了才想起要拍……）","upload/photo/2015-12-05/a0763f8f816f30fff8dffb3793852403.jpg"
"a347b2d0","2015-12-05","晚餐","440","交大二餐二楼大众餐厅，鸡腿+白菜+莴笋","upload/photo/2015-12-05/ec0b3ab8cf073462f8bce18dafe58a14.jpg"
"a347b2d0","2015-12-06","早餐","360","交大二餐江南小吃，大排面。","upload/photo/2015-12-06/b37f0c5a7e6643add34093cbab392703.jpg"
"a347b2d0","2015-12-06","午餐","680","交大二餐一楼上海快餐，肥猪肉+卤蛋+包菜+香菇","upload/photo/2015-12-06/9cdf1a3ebd87806958798d401630e4a3.jpg"
"a347b2d0","2015-12-06","晚餐","580","交大二餐二楼大众餐厅，杂粮+青菜+鸡肉","upload/photo/2015-12-06/cf9840ea86fa8679e72ec4c86f515713.jpg"
"a347b2d0","2015-12-07","早餐","600","交大一餐淮扬快餐，韭菜饼+一个菜包+一大碗白粥","upload/photo/2015-12-07/00e61155e8b70fb77a43acc733b08987.jpg"
"a347b2d0","2015-12-07","午餐","580","交大二餐二楼大众餐厅，冬瓜炖排骨+猪皮+豆芽","upload/photo/2015-12-07/162dc62e77fd357f6c42255ba99acbae.jpg"
"a347b2d0","2015-12-07","晚餐","450","交大二餐二楼大众餐厅，白菜+酱鸭+青椒炒洋葱猪肉","upload/photo/2015-12-07/5b7f5f21ff6722e1aab86bd57a851ece.jpg"
"a347b2d0","2015-12-08","早餐","310","交大一餐一楼淮扬快餐，小笼包+大碗白粥","upload/photo/2015-12-08/a5c03753a7dcf43b73cefada907c304c.jpg"
"a347b2d0","2015-12-08","午餐","405","交大二餐二楼大众餐厅，两个肉丸子+花菜+豆腐","upload/photo/2015-12-08/a7eb2c4d5b1fbe91e81cb0420832d4dc.jpg"
"a347b2d0","2015-12-08","晚餐","380","交大二餐二楼大众餐厅，青菜+鸡柳+莴笋炒猪肉","upload/photo/2015-12-08/18b17beef1a5888f4d8e9c2ede6a0f42.jpg"
