"编号","日期","类型","热量/kcal","餐品描述","照片"
"a678d0fe","2015-12-01","早餐","0","原味豆浆＊1 白煮蛋＊1","upload/photo/2015-12-01/c40dfb2c49d54c72b95f39737f4d63f0.jpg"
"a678d0fe","2015-12-01","午餐","0","咖喱鸡 土豆 米饭","upload/photo/2015-12-01/fece149383fa2bdaa8c3756e3bd2027c.jpg"
"a678d0fe","2015-12-01","晚餐","0","全脂牛奶200ml 蛋白粉 50g 芝士鸡肉饭","upload/photo/2015-12-01/cc60224f06e1d96e99d290a5650e682c.jpg"
"a678d0fe","2015-12-01","下午茶","0","士力架（51g）","upload/photo/2015-12-01/2184365a474521262918e77fb4dfee78.jpg"
"a678d0fe","2015-12-02","早餐","0","红枣豆奶 面粉皮夹蛋和火腿","upload/photo/2015-12-02/043386203b6718d7ba404534c2b22c36.jpg"
"a678d0fe","2015-12-02","午餐","0","羊肉泡馍","upload/photo/2015-12-02/8a818c5161ab38bd87583ae8c98d48ce.jpg"
"a678d0fe","2015-12-02","晚餐","0","鸡腿堡 辣翅一对 马蹄饮","upload/photo/2015-12-02/ff17d67b1dc2421288e45123337a091a.jpg"
"a678d0fe","2015-12-02","夜宵","0","全脂牛奶200ml","upload/photo/2015-12-02/a3e2c69a327644f093c6a03410cf3bed.jpg"
"a678d0fe","2015-12-03","早餐","0","生煎＊4 原味豆浆","upload/photo/2015-12-03/babc9eee7e980dee3dc81c3b49a58ecf.jpg"
"a678d0fe","2015-12-03","午餐","0","蛋包饭（米饭 鸡肉 蛋）","upload/photo/2015-12-03/c66256e7752213e6ec6dd24db8d7b5d0.jpg"
"a678d0fe","2015-12-03","晚餐","0","水煮肥牛（牛肉 粉丝 青菜）米饭","upload/photo/2015-12-03/fb381c39455b8cd8e59976ff720740e3.jpg"
"a678d0fe","2015-12-03","夜宵","0","一个白煮蛋的蛋白","upload/photo/2015-12-03/0d252bb48cfafd7735c24cac18b69397.jpg"
"a678d0fe","2015-12-04","早餐","0","红枣豆奶 生煎*4","upload/photo/2015-12-04/58998aec45defb319b51b1e010008447.jpg"
"a678d0fe","2015-12-04","午餐","0","冬瓜排骨汤 米饭","upload/photo/2015-12-04/48c0bfc37695ad0c5a5f78a9930fd597.jpg"
"a678d0fe","2015-12-04","晚餐","0","全脂牛奶200ml 蛋白粉50g 柚子（图中的2/3），黄瓜，鸡肉，烤猪肉，米饭，一个白煮蛋的蛋白","upload/photo/2015-12-04/78b08da4581dd7c7639a7704cc0711d4.jpg"
"a678d0fe","2015-12-04","夜宵","0","85%黑巧克力30g","upload/photo/2015-12-04/928199cb11f2ba32ab39f2fc3c91b8e7.jpg"
"a678d0fe","2015-12-05","早餐","0","部分脱脂牛奶250ml 巧克力派*1","upload/photo/2015-12-05/79fc346d9625730aaef398bcfbb262b9.jpg"
"a678d0fe","2015-12-05","午餐","0","咕嘛羊肉 泰式沙拉（黄瓜 卷心菜 豆腐 虾 豆芽） 菠萝汁","upload/photo/2015-12-05/00852254c5adaedfeeea49931576c0a1.jpg"
"a678d0fe","2015-12-05","晚餐","0","烤猪肉牛肉羊肉串，烤豆腐鸡翅猪排，米饭约50g，可乐约400ml","upload/photo/2015-12-05/b309850b866d855f712c29ccd0ad7abe.jpg"
"a678d0fe","2015-12-05","课间餐","0","85%黑巧克力20g","upload/photo/2015-12-05/4ce9666153eff11e7216e4e1b7cab28c.jpg"
"a678d0fe","2015-12-05","夜宵","0","荷包蛋*1，炒年糕半盘","upload/photo/2015-12-05/8cb2fda7c6cdd517b4a5ce1b26cc3a2b.jpg"
"a678d0fe","2015-12-06","早餐","0","饺子7个","upload/photo/2015-12-06/9c0baef759635d6d12ab5cf2c9a5f9d5.jpg"
"a678d0fe","2015-12-06","午餐","0","鸡肉汉堡，橙汁，黑白派，辣翅","upload/photo/2015-12-06/7699b5ecfb4b04178333fc27e77d82b4.jpg"
"a678d0fe","2015-12-06","晚餐","0","鸡腿 米饭 土豆泥","upload/photo/2015-12-06/625572e61a92af9ba545ba9653a0ef8c.jpg"
"a678d0fe","2015-12-06","夜宵","0","黑巧克力20g 柚子","upload/photo/2015-12-06/58457117d882fcddb82b04b13d2fca99.jpg"
"a678d0fe","2015-12-07","早餐","0","部分脱脂牛奶250ml 巧克力派*1","upload/photo/2015-12-07/df0716bb388ff26708383fa25561e247.jpg"
"a678d0fe","2015-12-07","午餐","0","米饭 鱼丸等","upload/photo/2015-12-07/e59f76b48655b86e8851253073de5c14.jpg"
"a678d0fe","2015-12-07","晚餐","0","米饭 冬瓜排骨汤","upload/photo/2015-12-07/7fc5b4d7d717a3f2fb8848d2ed15df70.jpg"
