"编号","日期","类型","热量/kcal","餐品描述","照片"
"a7b723ad","2015-12-01","早餐","42","南瓜饼，豆奶","upload/photo/2015-12-01/b62eadde903d604f5c75958f35562465.jpeg"
"a7b723ad","2015-12-01","午餐","0","石锅饭","upload/photo/2015-12-01/daab593b869aae160ca0e9a0c1a962bb.jpg"
"a7b723ad","2015-12-01","晚餐","500","外卖荷叶饭","upload/photo/2015-12-01/c1925e5d76daf37ba76bb92451eb721c.jpg"
"a7b723ad","2015-12-02","早餐","598","枣糕，鸡蛋，鲜奶","upload/photo/2015-12-02/1a406d8a241615b8b92ac27a9f214c67.jpeg"
"a7b723ad","2015-12-02","午餐","368","中餐","upload/photo/2015-12-02/f260b70077be04152b2b441027adc2f2.jpg"
"a7b723ad","2015-12-02","晚餐","395","粽子，担担面","upload/photo/2015-12-02/68a9df0476e0cd749ab79474d6d26014.jpg"
"a7b723ad","2015-12-03","早餐","70","粥 南瓜饼","upload/photo/2015-12-03/7735cfcbb2959fe4c80859bef8529e79.jpg"
"a7b723ad","2015-12-03","午餐","218","饺子","upload/photo/2015-12-03/68174a5376b9d4fdb2e876d0d7ab72c3.jpg"
"a7b723ad","2015-12-03","晚餐","450","中餐","upload/photo/2015-12-03/b53b59fdabcfcb3e1e973ad139b7b295.jpg"
"a7b723ad","2015-12-04","早餐","300","糍粑，豆奶","upload/photo/2015-12-04/365be7a70e3d3a88ddf809c3f552529b.jpg"
"a7b723ad","2015-12-04","午餐","480","中餐","upload/photo/2015-12-04/8444c616626c0cf52f9f128494a306d0.jpg"
"a7b723ad","2015-12-04","晚餐","455","中餐","upload/photo/2015-12-04/c597d713203a33fb3bd5e00d7d97ed6d.jpg"
"a7b723ad","2015-12-05","早餐","433","芝士肉酱饭","upload/photo/2015-12-05/a428b06d441d3b4d2bd3db5f3ad2f9ab.jpg"
"a7b723ad","2015-12-05","早餐","331","巧克力棒","upload/photo/2015-12-05/725039e4a8912a204e9b43fce743cff4.jpg"
"a7b723ad","2015-12-05","午餐","296","酸菜鱼","upload/photo/2015-12-05/d658f30d54e71e09851021045af67319.jpg"
"a7b723ad","2015-12-06","早餐","161","豆花，油条","upload/photo/2015-12-06/e8ce33756dd54e1f41645f3fc45e8cfe.jpg"
"a7b723ad","2015-12-06","午餐","318","中餐","upload/photo/2015-12-06/21eca9620fc6fbb4012597f60b1602c3.jpg"
"a7b723ad","2015-12-06","晚餐","326","中餐","upload/photo/2015-12-06/e2fd443cd224e4d283643cf9966b6ec5.jpg"
"a7b723ad","2015-12-07","早餐","75","饼，豆奶","upload/photo/2015-12-07/ae4c1df82978d2fb3ee39e27f905382c.jpg"
"a7b723ad","2015-12-07","午餐","282","蛋炒饭","upload/photo/2015-12-07/42ff035f5cf255c7341964c735dd49fa.jpg"
"a7b723ad","2015-12-07","晚餐","167","芝士饭","upload/photo/2015-12-07/79b99d32df3cd0f328e117bd4c6be2cc.jpg"
