"编号","日期","类型","热量/kcal","餐品描述","照片"
"abd0e973","2015-12-01","早餐","1030","燕麦牛奶微波加热+面包","upload/photo/2015-12-01/0999a607afb630d6c7d5fe59bbbb3f4c.jpg"
"abd0e973","2015-12-01","午餐","800","一餐的石锅拌饭，培根加菌菇","upload/photo/2015-12-01/931883ee386c80f9b32010ae5c2b6187.jpg"
"abd0e973","2015-12-01","晚餐","2698","教工餐厅","upload/photo/2015-12-01/2cc3671fd9a7165e67711a28b832822b.jpg"
"abd0e973","2015-12-02","早餐","250","一瓶牛奶+一片吐司","upload/photo/2015-12-02/87e05bc5572678ddf03d346fe8ded6b5.jpg"
"abd0e973","2015-12-02","午餐","1209","鱼+类似豆腐干的不知道什么东西","upload/photo/2015-12-02/144afe52fffc69e09197de76a95c8cdb.jpg"
"abd0e973","2015-12-02","晚餐","875","芹菜+咖喱土豆","upload/photo/2015-12-02/a99ac4eb99b99f339f19d04fe4af7773.jpg"
"abd0e973","2015-12-03","早餐","685","吐司加牛奶","upload/photo/2015-12-03/2002a84be1b98b4ea48c66e42492c2a2.jpg"
"abd0e973","2015-12-03","午餐","944","土豆炒牛肉饭","upload/photo/2015-12-03/ebbda2fb52d09082ccec04fa7058bd47.jpg"
"abd0e973","2015-12-03","晚餐","840","外卖脆皮鸡饭","upload/photo/2015-12-03/5877d0ff9ebce2bbb8dde546d413aa49.jpg"
"abd0e973","2015-12-03","夜宵","440","薯片加酸奶","upload/photo/2015-12-03/48a1ed33ad953660c0e9c0c3fff2d00c.jpg"
"abd0e973","2015-12-04","早餐","297","面包","upload/photo/2015-12-04/ca537a2aeef870f758ba63c9e959ffa7.jpg"
"abd0e973","2015-12-04","午餐","1123","一餐石锅拌饭","upload/photo/2015-12-04/cd83dc82c0604c6af80deca6f43eac86.jpg"
"abd0e973","2015-12-04","晚餐","769","","upload/photo/2015-12-04/e76c144676364e988ce5f407a11ca1dd.jpg"
"abd0e973","2015-12-05","早餐","0","没吃早餐","upload/photo/2015-12-05/d1a3c89b26b3bfa5de516db183cf480b.jpg"
"abd0e973","2015-12-05","午餐","1003","卤肉饭","upload/photo/2015-12-05/5876b3fbc22b84800a311ab19bbc08d8.jpg"
"abd0e973","2015-12-05","晚餐","958","外卖咖喱饭","upload/photo/2015-12-05/eae26de7087edd763c7bec8f8242a45d.jpg"
"abd0e973","2015-12-05","下午茶","154","酸奶","upload/photo/2015-12-05/87da394e3ff2da0ed44e96d32a6fb067.jpg"
"abd0e973","2015-12-06","早餐","216","一个肉包+一罐咖啡","upload/photo/2015-12-06/7fc520a75572f2e8ac2d7ce0e807cc0d.jpg"
"abd0e973","2015-12-06","午餐","428","手抓饼","upload/photo/2015-12-06/284fd5c2747d617c90baa10e7d44605c.jpg"
"abd0e973","2015-12-06","晚餐","283","水果沙拉","upload/photo/2015-12-06/869856c9d8f1a57df9693370470b8120.jpg"
"abd0e973","2015-12-06","夜宵","134","酸奶","upload/photo/2015-12-06/aa2faa4b3508293ff232271cdf9d2d4e.jpg"
"abd0e973","2015-12-07","早餐","428","手抓饼","upload/photo/2015-12-07/45087cc0777d782b91e4f82ad5a6d5c6.jpg"
"abd0e973","2015-12-07","午餐","940","鲫鱼汤","upload/photo/2015-12-07/1efcde4616e9c43653247702127202b4.jpg"
"abd0e973","2015-12-07","晚餐","930","","upload/photo/2015-12-07/e1e67f8fdd6672cf3e714df5f9ebef2e.jpg"
"abd0e973","2015-12-07","课间餐","102","","upload/photo/2015-12-07/3cb0be213123ab61c8b3d5a5b5cef187.jpg"
"abd0e973","2015-12-07","下午茶","78","奶茶","upload/photo/2015-12-07/7fcaa8217d316ec2e793f717bda8940e.jpg"
"abd0e973","2015-12-07","夜宵","31","柚子","upload/photo/2015-12-07/8170a897dcc71246de99b12924855911.jpg"
