"编号","日期","类型","热量/kcal","餐品描述","照片"
"ad44c457","2015-12-01","早餐","310","粥，鸡蛋饼","upload/photo/2015-12-01/2d20d5114bf0ab201dafa535a19a6a7d.jpg"
"ad44c457","2015-12-01","午餐","540","鸡柳拌饭","upload/photo/2015-12-01/0ed924f96f9e389047de92484305d7e8.jpg"
"ad44c457","2015-12-01","晚餐","390","豆浆、豆丝、米、青菜","upload/photo/2015-12-01/a8c0d37cc33ff877380803c4aac7bb42.jpg"
"ad44c457","2015-12-02","早餐","330","粥、玉米饼","upload/photo/2015-12-02/c675b97b0090035673e5ea96ea673ee1.jpg"
"ad44c457","2015-12-02","午餐","450","燃面","upload/photo/2015-12-02/b023726d2662cd63233eca9e2f0e903a.jpg"
"ad44c457","2015-12-02","晚餐","515","米、烤肉、黄瓜、鸡蛋","upload/photo/2015-12-02/923b049392d4cbe5ea43282d58d3444a.jpg"
"ad44c457","2015-12-03","早餐","375","手抓饼（加火腿、鸡蛋）、粥","upload/photo/2015-12-03/beb6aac93f2f012fa3d525bae634c129.jpg"
"ad44c457","2015-12-03","午餐","540","鸡柳拌饭","upload/photo/2015-12-03/eb4f19a069487a7e8197ce9bd46a3d20.jpg"
"ad44c457","2015-12-03","晚餐","410","面包、牛奶","upload/photo/2015-12-03/686f5d1d39f87674242df847c49c0d74.jpg"
"ad44c457","2015-12-04","早餐","220","玉米饼，粥","upload/photo/2015-12-04/785a57a708ce72c262eb8c33d73304ff.jpg"
"ad44c457","2015-12-04","午餐","412","炒面，鸡蛋汤","upload/photo/2015-12-04/8ed890e189de4bbe0a56c3ae049fe1b2.jpg"
"ad44c457","2015-12-04","晚餐","510","米，青菜，烤肉，紫菜汤","upload/photo/2015-12-04/56aa152c96dc5287df9a3c0ef5e292f6.jpg"
"ad44c457","2015-12-05","早餐","310","两个包子（想起来时已经吃了一个）、豆浆","upload/photo/2015-12-05/e0663a3c0e14870645ed7ec118cef3aa.jpg"
"ad44c457","2015-12-05","午餐","0","在校外浪…没吃","upload/photo/2015-12-05/fc04c3235754c97e7cf170ee2e1d7e7b.jpg"
"ad44c457","2015-12-05","晚餐","580","烤肉饭","upload/photo/2015-12-05/9af0252b0dba6b40404f0490afbe7c1e.jpg"
"ad44c457","2015-12-06","早餐","340","韭菜饼，南瓜饼，粥","upload/photo/2015-12-06/3b979a91ae03ff273dec03fbc9723fde.jpg"
"ad44c457","2015-12-06","午餐","460","鸡柳拌饭","upload/photo/2015-12-06/0dff437afdb07ce225dfe0c2df3e00ad.jpg"
"ad44c457","2015-12-06","晚餐","300","小馄饨","upload/photo/2015-12-06/2c6d36c9c1c29a0d18630b6118a49c04.jpg"
"ad44c457","2015-12-07","早餐","340","韭菜饼、玉米饼、粥","upload/photo/2015-12-07/b9602fa29520c0042181c08ab82825e1.jpg"
"ad44c457","2015-12-07","午餐","590","宜宾燃面","upload/photo/2015-12-07/f23325f61f8cfa4c0b5c417d05bc99a4.jpg"
"ad44c457","2015-12-07","晚餐","610","鸡蛋汤、米、青菜、豆丝、肉","upload/photo/2015-12-07/6639fc6bde48e7a18340f5aa9893f6ad.jpg"
