"编号","日期","类型","热量/kcal","餐品描述","照片"
"b15b9ea4","2015-12-01","早餐","480.7","小林煎饼","upload/photo/2015-12-01/c17571027e32448a12af874496e452c3.jpeg"
"b15b9ea4","2015-12-01","午餐","462","三餐","upload/photo/2015-12-01/bb3f517e875f55afd256a88af4a31282.jpeg"
"b15b9ea4","2015-12-01","晚餐","138","关东煮（二餐的关东煮差评）","upload/photo/2015-12-01/bc1867dd436957558491b0a8eb93b238.jpeg"
"b15b9ea4","2015-12-01","晚餐","501.5","叉烧饭","upload/photo/2015-12-01/f65e7ff587dd081d83241297104fd2b6.jpeg"
"b15b9ea4","2015-12-02","早餐","230","早餐","upload/photo/2015-12-02/05f823de874a348652c077735e713196.jpeg"
"b15b9ea4","2015-12-02","午餐","334","三餐","upload/photo/2015-12-02/343c3e4f2a6fdba35576fa1fbf3b1ecb.jpeg"
"b15b9ea4","2015-12-02","晚餐","533.5","二餐","upload/photo/2015-12-02/2fb13a7ea77328847e3df390a0057568.jpeg"
"b15b9ea4","2015-12-03","早餐","676.3","鲜肉粽+旺仔牛奶（粽子已经吃掉了）","upload/photo/2015-12-03/533a6402ab79cd2fc25145b1b9b18450.jpeg"
"b15b9ea4","2015-12-03","午餐","0","自助餐（两人一起的）","upload/photo/2015-12-03/130020219010954894fc87c5cdc458d7.jpeg"
"b15b9ea4","2015-12-03","晚餐","542","一餐","upload/photo/2015-12-03/5c22bb9b5b0fc1a563677b04d2f506ee.jpeg"
"b15b9ea4","2015-12-04","早餐","0","木有吃","upload/photo/2015-12-04/fdcf17c5c261fef35fe16e3d18ad7497.jpeg"
"b15b9ea4","2015-12-04","午餐","584","三餐烤肉饭","upload/photo/2015-12-04/6962306b4dba15662ef776bfc5b0dd11.jpeg"
"b15b9ea4","2015-12-04","晚餐","1364","烤羊排，刀豆，还有排骨汤跟三根麻花没拍进去嗯","upload/photo/2015-12-04/e8a470b14c877ce8f19449365a2879bf.jpeg"
"b15b9ea4","2015-12-05","早餐","638","一片面包两根香肠。。忘记拍照了","upload/photo/2015-12-05/8ff356fdf2f93d0b221bb9a8a5dd22c2.jpeg"
"b15b9ea4","2015-12-05","午餐","787","辣子鸡土豆丝排骨汤for3人","upload/photo/2015-12-05/9dd3b94364ff13430a66d0595aebfaa7.jpeg"
"b15b9ea4","2015-12-05","晚餐","965","辣子鸡三文鱼蔬菜and蛋炒饭for3人","upload/photo/2015-12-05/1bb88d149c1eb29ab49dd4f2a6774059.jpeg"
"b15b9ea4","2015-12-06","早餐","230","全家手卷1个","upload/photo/2015-12-06/7c3fcf6383a53ed65fea38c3d8371290.jpeg"
"b15b9ea4","2015-12-06","午餐","602","肥牛米线加椰奶。。忘记拍了只拍了店。。","upload/photo/2015-12-06/70db1eecfb926029f0c98595560a13c6.jpeg"
"b15b9ea4","2015-12-06","晚餐","584","二餐绿园烤肉饭","upload/photo/2015-12-06/62a41797888558fc8ef839c30c26adf1.jpeg"
"b15b9ea4","2015-12-07","早餐","522","蛋黄粽加蛋","upload/photo/2015-12-07/4c1721f61b8f3fca400859e965edf652.jpeg"
"b15b9ea4","2015-12-07","午餐","610","麻辣脆皮鸡饭➕可乐","upload/photo/2015-12-07/3b31f2152be7de8bee0c48a517b8b7ed.jpeg"
"b15b9ea4","2015-12-07","晚餐","872.5","西餐厅叉烧饭","upload/photo/2015-12-07/63c1bb62dfc07ac0c300959d241af2bf.jpeg"
