"编号","日期","类型","热量/kcal","餐品描述","照片"
"b345bbd5","2015-12-01","午餐","478.5","咸鸡腿饭，番茄蛋汤，包菜","upload/photo/2015-12-01/05938cf156cd50f2f7a164b99d12ed12.jpeg"
"b345bbd5","2015-12-01","晚餐","145","小笼包，牛肉粉丝汤","upload/photo/2015-12-01/33473b51efcb57941f42f3b4a05d2a87.jpeg"
"b345bbd5","2015-12-02","午餐","1162","巨无霸 薯条 可乐 麦乐鸡","upload/photo/2015-12-02/d78e72a33245c13f0fd435d02641f05a.jpeg"
"b345bbd5","2015-12-02","晚餐","445","闽南烧肉饭 麦香红茶","upload/photo/2015-12-02/3195c93e8ca81ee245698661e00eaba7.jpeg"
"b345bbd5","2015-12-03","午餐","491","千里香小馄饨，鸡排","upload/photo/2015-12-03/30e60979ec76e84d6eab269043e78d94.jpeg"
"b345bbd5","2015-12-03","晚餐","187.5","牛肉拉面","upload/photo/2015-12-03/79bf92547525895710a7a53ad8f51a5c.jpeg"
"b345bbd5","2015-12-04","午餐","145","小笼包，牛肉粉丝汤","upload/photo/2015-12-04/305294d3b67191d739ce597405459faa.jpeg"
"b345bbd5","2015-12-04","晚餐","66","蒜蓉西兰花","upload/photo/2015-12-04/53875236b4282467280a11e95f811f6e.jpeg"
"b345bbd5","2015-12-04","晚餐","648","腊味煲仔饭","upload/photo/2015-12-04/c9b9ca7f1eaaf2658e5f3c91d6b01452.jpeg"
"b345bbd5","2015-12-04","晚餐","339","咖喱牛腩","upload/photo/2015-12-04/2c6657fce08753bd1d0c2bcee243bdbb.jpeg"
"b345bbd5","2015-12-05","午餐","378","泡面","upload/photo/2015-12-05/e0cb13dac3923a724f396b4c00efee1f.jpeg"
"b345bbd5","2015-12-05","晚餐","294","寿司，三文鱼海鲜拌饭","upload/photo/2015-12-05/8b5a3331bd556f48cd776df3cc46aba4.jpeg"
"b345bbd5","2015-12-06","午餐","267","小馄饨","upload/photo/2015-12-06/51dc5d01227fdfb283874afd03303933.jpeg"
"b345bbd5","2015-12-06","晚餐","453","脆皮鸡","upload/photo/2015-12-06/48d3c9c8c5f5fde7f728b4e3738436a5.jpeg"
"b345bbd5","2015-12-06","晚餐","246","龙虾海鲜芝士火锅","upload/photo/2015-12-06/0ac7f9c26875baba42445629e6676b4a.jpeg"
"b345bbd5","2015-12-06","晚餐","312","蒜香面包鹅肝酱","upload/photo/2015-12-06/6056faf0d477e2fbd79aec2215c4cf2a.jpeg"
"b345bbd5","2015-12-06","晚餐","132","蟹肉藕饼","upload/photo/2015-12-06/ca7c6ccc183ed5d0aa0f1d5c6a4fdaee.jpeg"
"b345bbd5","2015-12-06","晚餐","81","红油象鼻蚌","upload/photo/2015-12-06/20e9a897d225493dcbe76efe24fd67fe.jpeg"
"b345bbd5","2015-12-07","午餐","460.5","酱鸭腿饭","upload/photo/2015-12-07/e52d57d0a1eaae16f73b8bf3b384564d.jpeg"
"b345bbd5","2015-12-07","晚餐","1234","聚餐，烤鸭，烤乳猪，腌笃鲜，剁椒鱼头等等","upload/photo/2015-12-07/38e169c41e2473e235741c2044dd763b.jpeg"
