"编号","日期","类型","热量/kcal","餐品描述","照片"
"b3bc574c","2015-12-01","早餐","382","燕麦粥","upload/photo/2015-12-01/09e879dd09ce1d994bcd4029ea90f14d.jpg"
"b3bc574c","2015-12-01","午餐","150","外卖","upload/photo/2015-12-01/d8d80578be449c802daedb916ec210ab.jpg"
"b3bc574c","2015-12-01","晚餐","52","水果","upload/photo/2015-12-01/589ffbb902b626550a81afcda7c47742.jpg"
"b3bc574c","2015-12-02","早餐","382","燕麦粥","upload/photo/2015-12-02/46a922a14ed04f3a918a601c64f88b7f.jpg"
"b3bc574c","2015-12-02","午餐","0","未吃","upload/photo/2015-12-02/b86094327d95e8cfff05ae12bed76691.jpg"
"b3bc574c","2015-12-02","晚餐","163.5","面条","upload/photo/2015-12-02/91d9d0fb6d2871529ddcd46fa5a5d6fc.jpg"
"b3bc574c","2015-12-03","早餐","163.5","面","upload/photo/2015-12-03/02fecaf9bde25d38c9bd38f6d26687cd.jpg"
"b3bc574c","2015-12-03","午餐","507","梅菜饭","upload/photo/2015-12-03/cc8582866456c881cacf6f1610216a05.jpg"
"b3bc574c","2015-12-03","晚餐","503","食堂","upload/photo/2015-12-03/27bf0f5bfb59d7f2a8f5f12fafdfec23.jpg"
"b3bc574c","2015-12-04","早餐","163.5","面","upload/photo/2015-12-04/b9714d4305366ae06dd01f96fbb4bbea.jpg"
"b3bc574c","2015-12-04","午餐","423.5","食堂","upload/photo/2015-12-04/b897eff50ba6715f36592e11feb53c5b.jpg"
"b3bc574c","2015-12-04","晚餐","318","芝士番茄牛肉拌饭","upload/photo/2015-12-04/0802eb5bfb3fa577982f415197c66300.jpg"
"b3bc574c","2015-12-05","早餐","163.5","面","upload/photo/2015-12-05/ddde829008ee7d99330adb0748ce1ac3.jpg"
"b3bc574c","2015-12-05","午餐","284","鸡排蛋包饭","upload/photo/2015-12-05/ffff929058942c96daef337e87e50337.jpg"
"b3bc574c","2015-12-05","晚餐","173","石锅饭","upload/photo/2015-12-05/e32bfafbeb92ffac1109f06b9a1c05dc.jpg"
"b3bc574c","2015-12-06","早餐","163.5","面","upload/photo/2015-12-06/ecb8f21193e24c97e5890b923172bf66.jpg"
"b3bc574c","2015-12-06","午餐","816.5","工作餐","upload/photo/2015-12-06/1c29322eb9388529ef5a90d55ad7ea10.jpg"
"b3bc574c","2015-12-06","晚餐","738","糖醋小排饭","upload/photo/2015-12-06/07f2be80f85446e27015dd7c9e7857a8.jpg"
"b3bc574c","2015-12-07","早餐","163.5","面","upload/photo/2015-12-07/86aad20aa3a64133790155c149b2cef3.jpg"
"b3bc574c","2015-12-07","午餐","883.5","梅干菜鸡排饭","upload/photo/2015-12-07/a6cdcd6aa828f37d4207b6feb58a3450.jpg"
"b3bc574c","2015-12-07","晚餐","163.5","面","upload/photo/2015-12-07/73f189125135d3d33cc93cb96015c05b.jpg"
