"编号","日期","类型","热量/kcal","餐品描述","照片"
"b68cd480","2015-12-01","早餐","274","鸡蛋肉包（就是肉包上盖了个葱煎蛋）还有一杯咖啡","upload/photo/2015-12-01/bc001b07a9e6e61d8d6406d1ce2fed56.jpg"
"b68cd480","2015-12-01","午餐","584","清炒豆芽，莴笋烧鸡，莴笋炒蛋，三两米饭","upload/photo/2015-12-01/844498445b82d9f58ae4fe7ea4ce8c2e.jpg"
"b68cd480","2015-12-01","晚餐","494","冬瓜排骨，素炒包菜，三两米饭","upload/photo/2015-12-01/ef024a41c379d604db8a613381f384be.jpg"
"b68cd480","2015-12-01","夜宵","80","一个苹果","upload/photo/2015-12-01/18d981bd2de08c96ee70006374bf19ef.jpg"
"b68cd480","2015-12-02","早餐","370","一瓶牛奶和一个面包","upload/photo/2015-12-02/a79713a2df878cb09f26e1a17fd4daca.jpg"
"b68cd480","2015-12-02","午餐","528","二餐三楼的鸭肉铁板烧饭","upload/photo/2015-12-02/e1ea3b00f49efb9ca011c072bd5218fa.jpg"
"b68cd480","2015-12-02","晚餐","414","素炒小白菜，洋葱肉肠，三两饭","upload/photo/2015-12-02/a3967dc6863f7b1433a4f75ce43248a1.jpg"
"b68cd480","2015-12-02","夜宵","80","一个苹果","upload/photo/2015-12-02/129f0b0fa610a8d047a0ed9941836e21.jpg"
"b68cd480","2015-12-03","早餐","299","二餐一楼小碗抄手","upload/photo/2015-12-03/cabe236a3d14281185d8519a141fe823.jpg"
"b68cd480","2015-12-03","午餐","553","素炒小白菜，倭瓜炒肉，肉饼蛋，三两米饭","upload/photo/2015-12-03/1e2c06d0459a26b0bf3f65859bf69c79.jpg"
"b68cd480","2015-12-03","晚餐","514","素炒小白菜，烤鸡块，三两米饭","upload/photo/2015-12-03/7d1d232f94048873d418df6b4f373d51.jpg"
"b68cd480","2015-12-04","早餐","351","两个南瓜饼，一杯豆奶","upload/photo/2015-12-04/54b66941b165a17818f96e653975cf81.jpg"
"b68cd480","2015-12-04","午餐","642","芋圆炖鸡，麻婆豆腐，泡椒豆芽，三两米饭","upload/photo/2015-12-04/28dc1011e1ccd14553db60a710f01720.jpg"
"b68cd480","2015-12-04","晚餐","619","素炒上海青，黄瓜炒蛋，肉丸，三两米饭","upload/photo/2015-12-04/91fbe7c56df2a3eb0c6cec9fe11ed428.jpg"
"b68cd480","2015-12-05","早餐","303","大碗抄手","upload/photo/2015-12-05/cf012345bf7bd68d097d0672d797db05.jpg"
"b68cd480","2015-12-05","午餐","613","二餐三楼的鸭肉铁板烧饭","upload/photo/2015-12-05/9e3842eb08236013b76f46dcb9cc7731.jpg"
"b68cd480","2015-12-05","晚餐","842","羊蝎子火锅，大概吃了四碗饭","upload/photo/2015-12-05/d7a25febc4c0eee76e15a2f0d8efe50a.jpg"
"b68cd480","2015-12-06","早餐","679","一个苹果，半包饼干，一盒牛奶","upload/photo/2015-12-06/a058b85da743d140e813fa21a3e41719.jpg"
"b68cd480","2015-12-06","午餐","533","素炒上海青，小葱豆腐，酱鸡腿，三两米饭","upload/photo/2015-12-06/1945b84e6ef2552147a2a99bea9abb7b.jpg"
"b68cd480","2015-12-06","晚餐","486","素炒白菜，土豆烧鸡，三两米饭","upload/photo/2015-12-06/ec388ebba1f38fe4720003f31abf4265.jpg"
"b68cd480","2015-12-07","早餐","527","十个饺子，一碗黑米粥","upload/photo/2015-12-07/d2b09e3ec591bfcfcd73ab887e16053d.jpg"
"b68cd480","2015-12-07","午餐","524","西红柿炒蛋，素炒白菜，酱鸡腿，三两米饭","upload/photo/2015-12-07/bb4dd9907e8375e8a2899b7f4521f7f3.jpg"
"b68cd480","2015-12-07","晚餐","485","素炒芹菜，酱鸭，三两米饭","upload/photo/2015-12-07/18ded2f12c8a0f8ae959146a50835bbf.jpg"
"b68cd480","2015-12-07","夜宵","140","一杯光明牛奶","upload/photo/2015-12-07/10b1bf2faee537a3cfcc945e50661ae1.jpg"
