"编号","日期","类型","热量/kcal","餐品描述","照片"
"b7f1c0fa","2015-12-01","早餐","819","曲奇","upload/photo/2015-12-01/cfdd71d1158ccf6dc213be3a10c4f483.jpg"
"b7f1c0fa","2015-12-01","午餐","818","烧鸭饭","upload/photo/2015-12-01/df16c17827e018a56021cf5ee1288cd9.jpg"
"b7f1c0fa","2015-12-01","晚餐","619","布丁、薯片","upload/photo/2015-12-01/2a220ffedd43aa1136e48435df9247ce.jpg"
"b7f1c0fa","2015-12-02","早餐","342","肉粽子","upload/photo/2015-12-02/267ac3258a8a3097926949e18422db6b.jpg"
"b7f1c0fa","2015-12-02","午餐","264","芝士香肠披萨","upload/photo/2015-12-02/fb76686f9f9e3b382e020aac2f970f2b.jpg"
"b7f1c0fa","2015-12-02","晚餐","194.5","手抓羊肉饭 羊肉串","upload/photo/2015-12-02/a30d2dfae3c0ae7afa5429c21e257ee9.jpg"
"b7f1c0fa","2015-12-03","早餐","0","无","upload/photo/2015-12-03/4d6b894270226d4522d570f1b63c5808.jpg"
"b7f1c0fa","2015-12-03","午餐","313.2","鸡蛋灌饼（金针菇+生菜+肉）","upload/photo/2015-12-03/ed5d1f36ae8dd30b9624c97a4f7414de.jpg"
"b7f1c0fa","2015-12-03","午餐","519","韩国石锅拌饭（金针菇+肥牛+泡菜）","upload/photo/2015-12-03/44ea5802901a82db9753667091dc16db.jpg"
"b7f1c0fa","2015-12-04","早餐","0","无","upload/photo/2015-12-04/1623587f66c84598a29c63cbc4098aa1.jpg"
"b7f1c0fa","2015-12-04","午餐","476.25","牛肉饭 猪排","upload/photo/2015-12-04/07d902fdcb85bfcfc162ac50d94ccd79.jpg"
"b7f1c0fa","2015-12-04","晚餐","654","烧鸭","upload/photo/2015-12-04/48b7166132fc033bfe49c43c34a84057.jpg"
"b7f1c0fa","2015-12-05","早餐","0","无","upload/photo/2015-12-05/171fd06363f4716a0ad6a80928392356.jpg"
"b7f1c0fa","2015-12-05","午餐","874","板栗炒肉","upload/photo/2015-12-05/c5e06dca953219c420bfd6e53a263e7c.jpg"
"b7f1c0fa","2015-12-05","晚餐","567","蛋糕","upload/photo/2015-12-05/c887952cdf377a7b191ff77f1e2a913c.jpg"
"b7f1c0fa","2015-12-06","早餐","0","无","upload/photo/2015-12-06/f618b1f9434a847239f3e79a75e9ebeb.png"
"b7f1c0fa","2015-12-06","午餐","246","火锅（牛肉 猪腿 鸡毛菜 生菜 菌菇 笋）","upload/photo/2015-12-06/078e92abaae3fd9fbaa9336274bce98d.png"
"b7f1c0fa","2015-12-06","晚餐","0","无","upload/photo/2015-12-06/f0a9f6b1990aac05e57630aad5eb556e.jpg"
"b7f1c0fa","2015-12-07","早餐","386","凤梨酥","upload/photo/2015-12-07/1bf4a15e7fa2158201c33b953d4abce2.png"
"b7f1c0fa","2015-12-07","午餐","596","面包含肉","upload/photo/2015-12-07/83815c7b0ae06117a4117f2d2f7366e8.jpg"
"b7f1c0fa","2015-12-07","晚餐","267","虾肉菌菇馄饨12只","upload/photo/2015-12-07/10f290b72d3432341d6bc970f5c67b6a.jpg"
