"编号","日期","类型","热量/kcal","餐品描述","照片"
"be3e2699","2015-12-01","早餐","673","粽子＋牛奶","upload/photo/2015-12-01/bef823d5bd36f228ddbff1198b0cd0cc.jpg"
"be3e2699","2015-12-01","午餐","535","糖醋排条盖浇饭","upload/photo/2015-12-01/4082ca81063e1bd20dccfd2a3f4720b3.jpg"
"be3e2699","2015-12-01","晚餐","387","牛肉拉面大碗","upload/photo/2015-12-01/5fae7f10fc045e06560c7a000fa901d9.jpg"
"be3e2699","2015-12-01","下午茶","690","巧克力加热巧克力","upload/photo/2015-12-01/14b06854343f8204dd52392a164aa363.jpg"
"be3e2699","2015-12-02","早餐","496","全家包子：奶黄包＋鲜肉大包＋豆浆","upload/photo/2015-12-02/6a8180bb910585ece69d26aef525304e.jpg"
"be3e2699","2015-12-02","午餐","363","辣酱面","upload/photo/2015-12-02/7314124ae2774eaa52dd40f7ddef7952.jpg"
"be3e2699","2015-12-02","晚餐","856","麦当劳：辣腿套餐＋吉士汉堡包","upload/photo/2015-12-02/aab987f9cf078e4b3d83408c55b556af.jpg"
"be3e2699","2015-12-02","下午茶","500","咖啡＋饼干","upload/photo/2015-12-02/29c3f7532d09a575e01c0ac52a3458ed.jpg"
"be3e2699","2015-12-03","早餐","696","粽子＋牛奶","upload/photo/2015-12-03/856cbfeacd0f8170c54f0cb9b00314cf.jpg"
"be3e2699","2015-12-03","午餐","500","汉堡一个","upload/photo/2015-12-03/770aa93d597ebb052c1bdabc7b762813.jpg"
"be3e2699","2015-12-03","晚餐","412","二餐豆花鱼","upload/photo/2015-12-03/b21146cbaccbc86de0270ea21bd0dbdb.jpg"
"be3e2699","2015-12-04","早餐","465","全家 包子＋豆浆","upload/photo/2015-12-04/fa4df8ad6c19a6d09ee4f71f139c72ab.jpg"
"be3e2699","2015-12-04","午餐","721","自助餐（很多肉＋水果＋蛋糕＋饮料）","upload/photo/2015-12-04/a1cd06ff0ee570df0214ce23492166e6.jpg"
"be3e2699","2015-12-04","晚餐","942","麦当劳 麦辣鸡腿汉堡套餐＋麦辣鸡翅一对","upload/photo/2015-12-04/733a92319a538853ff488a90fa75c167.jpg"
"be3e2699","2015-12-05","早餐","0","没吃","upload/photo/2015-12-05/cbb2fc424a3edfd1944ad21251d7dc6d.jpg"
"be3e2699","2015-12-05","午餐","513","二餐一楼麻辣鸡","upload/photo/2015-12-05/ddea10e3aa6dd5fe26c4d2e1835bfc00.jpg"
"be3e2699","2015-12-05","晚餐","376","炒饭","upload/photo/2015-12-05/747089009993e2e38791ff52f8c989be.jpg"
"be3e2699","2015-12-06","早餐","0","没吃","upload/photo/2015-12-06/f24e40d09c9a90e822f4de3e2dbf350f.jpg"
