"编号","日期","类型","热量/kcal","餐品描述","照片"
"c2241b6f","2015-12-01","午餐","200","","upload/photo/2015-12-01/9bd4f5fea8e00479957503ba95a6d149.jpeg"
"c2241b6f","2015-12-01","晚餐","640","蛋糕","upload/photo/2015-12-01/ad96c456817a8c1777118d65e0b84f2c.jpeg"
"c2241b6f","2015-12-02","午餐","600","餐馆","upload/photo/2015-12-02/532af646784fea60abba4694b23c776b.jpeg"
"c2241b6f","2015-12-02","晚餐","584","汉堡","upload/photo/2015-12-02/2124a1f6a821b8bd1db879dcd9b4dccc.jpeg"
"c2241b6f","2015-12-02","下午茶","43","水果","upload/photo/2015-12-02/323c3c5957d5d021919aa5f704340253.jpeg"
"c2241b6f","2015-12-03","午餐","455","哈乐餐厅 面","upload/photo/2015-12-03/63ef516094684524b992b33cb32e8c45.png"
"c2241b6f","2015-12-03","晚餐","458","糖醋里脊 咖喱土豆","upload/photo/2015-12-03/2a7a86db8c38fe040be8f1f78173e8eb.jpeg"
"c2241b6f","2015-12-04","午餐","623","糖醋里脊","upload/photo/2015-12-04/a4111905fae92f4bf5126eb2ee3d324b.jpeg"
"c2241b6f","2015-12-04","晚餐","564","土豆鸡块","upload/photo/2015-12-04/0712d5995bb5d381c4c86f6be1f8f906.jpeg"
"c2241b6f","2015-12-05","下午茶","924","今天一天就吃这一顿～三个汉堡一杯奶茶","upload/photo/2015-12-05/f7487b014f8dab053e687f8007916199.jpg"
"c2241b6f","2015-12-06","午餐","305","","upload/photo/2015-12-06/fd163b5cca3925e77dafe5969e5ca288.jpeg"
"c2241b6f","2015-12-06","晚餐","623","干锅牛肉两碗米饭","upload/photo/2015-12-06/33d1af970ecc1cbf0438a31f62410e19.jpeg"
"c2241b6f","2015-12-07","午餐","407","黑椒牛柳饭","upload/photo/2015-12-07/05c4ccf35313babede6cb5ec1d8413c6.jpg"
"c2241b6f","2015-12-07","晚餐","512","西红柿鸡蛋 鸡腿 糖醋里脊 米饭","upload/photo/2015-12-07/ff2a5aa7e39cf39bc4fa746899d6373b.jpeg"
