"编号","日期","类型","热量/kcal","餐品描述","照片"
"c48fc4ab","2015-12-01","早餐","450","光明鲜牛奶200ml，达利园牛角包一个，时间9点30","upload/photo/2015-12-01/a875a4f2cb4ad451cfdeb74b5ccd13a3.jpeg"
"c48fc4ab","2015-12-01","午餐","420","灌汤小笼包10只，红豆沙莲子羹1碗，豉豆肉丝一小蝶","upload/photo/2015-12-01/8da8ad6cdaa80b74f9eeabe80ddec51d.jpg"
"c48fc4ab","2015-12-01","晚餐","540","红烧肥肠，土豆炖牛腩，蒜蓉菠菜，青椒馕肉，西湖牛肉羹（外出就餐，2人分吃","upload/photo/2015-12-01/947646ceb1e5e5c81441ba07414a2eb6.jpg"
"c48fc4ab","2015-12-01","夜宵","210","好时巧克力3枚，佳得乐一瓶","upload/photo/2015-12-01/3d48abf65daed60657ae7157b9f3adbc.jpg"
"c48fc4ab","2015-12-02","早餐","510","光明鲜牛奶一盒，达利园牛角包2个","upload/photo/2015-12-02/84bf1f85bff22fdc92c08d4f0ee2e216.jpeg"
"c48fc4ab","2015-12-02","午餐","600","铁板烧荤（肉片，藕片，芹菜等），紫菜蛋汤，酸菜笋肉丝，青菜，米饭","upload/photo/2015-12-02/d181b93e2e59287ed5ddff994d1ea0af.jpeg"
"c48fc4ab","2015-12-02","晚餐","550","外卖照烧鸡肥牛双拼饭（忘了拍照，传午饭照片吧）","upload/photo/2015-12-02/111e734c5c390cb908d9f38bb8d64828.jpeg"
"c48fc4ab","2015-12-02","夜宵","500","佳得乐一瓶，雪菲力荔枝味2盒，好时巧克力3枚","upload/photo/2015-12-02/201ec7b88c60a2e3c5fa045f9eedffb3.jpeg"
"c48fc4ab","2015-12-03","早餐","0","没吃，随便传的照片","upload/photo/2015-12-03/9e701827acf9bba0a153841df8e35236.png"
"c48fc4ab","2015-12-03","午餐","500","忘了拍照，旅途便当的狮子头套餐饭","upload/photo/2015-12-03/643aaeccc880d676aa5a1cc5b082a17b.png"
"c48fc4ab","2015-12-03","晚餐","600","炸卤大排翅根套餐饭","upload/photo/2015-12-03/1e540b1b3eb63f89a0a135dc895de09e.jpeg"
"c48fc4ab","2015-12-04","早餐","480","华夫饼2个，豆浆一碗，光明鲜牛奶一盒","upload/photo/2015-12-04/64a3ca279488bfcc0fd8b15162144420.jpeg"
"c48fc4ab","2015-12-04","午餐","510","蒜香肉饼，萝卜肉块，盖菜蛋汤，米饭","upload/photo/2015-12-04/b4e254a3dbfd5d96862e29b49e8da1b1.jpeg"
"c48fc4ab","2015-12-04","晚餐","570","忘了拍照，外卖20元特餐，有狮子头一个，照烧肉块，番茄炒蛋，白菜肉，胡萝卜","upload/photo/2015-12-04/4d03d7a1248bbc74664bcdf5170c9712.png"
"c48fc4ab","2015-12-05","午餐","300","白菜猪肉饺20个，东北饺子王外卖","upload/photo/2015-12-05/d9cb5c3c8a1903d7f7519eb3c0fdb126.png"
"c48fc4ab","2015-12-05","晚餐","600","红烧狮子头套餐饭-旅途便当外卖","upload/photo/2015-12-05/1c51a0e23b512d7d4900ef4afaa901fb.png"
"c48fc4ab","2015-12-06","早餐","340","芒果牛奶，慕斯蛋糕约100g","upload/photo/2015-12-06/c605458b766484a06e5a992c91916f7d.png"
"c48fc4ab","2015-12-06","午餐","400","老鸭粉丝汤小份，板烧鱿鱼串1串，章鱼小丸子2粒","upload/photo/2015-12-06/b890c00df6cb59738e1c4eae3194f8a1.png"
"c48fc4ab","2015-12-06","晚餐","590","梅子味大鸡排，肯德基外带全家桶（貌似吃了中杯一杯半可乐，鸡翅5-6个，吮指原味鸡2块，鸡腿1块","upload/photo/2015-12-06/60ca6d81d902145c339e4e25ed5d8ab2.png"
"c48fc4ab","2015-12-07","早餐","350","酒店自助，如图，两碟吃光了","upload/photo/2015-12-07/c9f172035ced2fd82b48b8944e0ef53b.jpeg"
"c48fc4ab","2015-12-07","午餐","310","BBQ手撕牛肉卷，苹果气泡饮料","upload/photo/2015-12-07/f941a93e1cceb694fd382ce8111b0140.png"
"c48fc4ab","2015-12-07","晚餐","440","必胜客（红烩牛肉披普通装萨半盘，鸡翅1个，韩式辣鸡2块，虾球2个","upload/photo/2015-12-07/301a1a29c98cfd1bb21ec7cd569b4bab.png"
