"编号","日期","类型","热量/kcal","餐品描述","照片"
"c6f33de4","2015-12-01","早餐","0","大理石蛋糕，净含量90g，能量1538千焦","upload/photo/2015-12-01/873a68623ff85b2fcb56e1c22f334bfa.jpg"
"c6f33de4","2015-12-01","午餐","0","二餐二楼大众餐厅，炒香肠加蒜苔。但是忘记拍照片了（图片不是午餐内容）","upload/photo/2015-12-01/1f335bad5ab2c06037e29c9ac790a26e.jpg"
"c6f33de4","2015-12-01","晚餐","0","麻辣香锅，肉品菜品具备","upload/photo/2015-12-01/d1d03bdae9f1cab557776690609427e4.jpg"
"c6f33de4","2015-12-02","早餐","0","豆沙包加豆浆","upload/photo/2015-12-02/85a7eb1cee717cdb522657f69bb546e5.jpg"
"c6f33de4","2015-12-02","午餐","0","飘香烤鸭便当","upload/photo/2015-12-02/d81307fc5d00fb0917eb83e7eb26f43f.jpg"
"c6f33de4","2015-12-02","晚餐","0","烤鸡腿3只","upload/photo/2015-12-02/3d5518f94ffe49303c571ae4481c77bf.jpg"
"c6f33de4","2015-12-03","早餐","0","蛋糕","upload/photo/2015-12-03/3d7fa2405e6abd0446ac2d1797703856.jpg"
"c6f33de4","2015-12-03","午餐","0","二餐鸡排饭","upload/photo/2015-12-03/25a4e1b88c86d558efb65b313cb6f183.jpg"
"c6f33de4","2015-12-03","晚餐","0","无（照片不是）","upload/photo/2015-12-03/466975d7bffe87104525ca53ec9419b3.jpg"
"c6f33de4","2015-12-04","早餐","320","蛋糕","upload/photo/2015-12-04/2d638274b48cce33a863dbc1d17483bb.jpg"
"c6f33de4","2015-12-04","午餐","0","无（图片不是午餐）","upload/photo/2015-12-04/28b6986d283e6c7c8c6205523e1b0afc.jpg"
"c6f33de4","2015-12-04","晚餐","417","二餐二楼教工餐厅","upload/photo/2015-12-04/798cba021b1347326ceb2812b783b328.jpg"
"c6f33de4","2015-12-05","早餐","0","无","upload/photo/2015-12-05/8cfbfc44fa7065d180527be019c5b9b9.jpg"
"c6f33de4","2015-12-05","午餐","577","烤鸭饭加夫妻肺片","upload/photo/2015-12-05/000c06adcfa87b2dc73e5b5d016d14f1.jpg"
"c6f33de4","2015-12-05","晚餐","640","二餐鸡排饭","upload/photo/2015-12-05/f2a0572c0ae01e182181e1248c86139d.jpg"
"c6f33de4","2015-12-06","早餐","0","无","upload/photo/2015-12-06/60c501fd4df8050a3a07d20b45c3cc1f.jpg"
"c6f33de4","2015-12-06","午餐","327","二餐二楼，鸡腿加豆角","upload/photo/2015-12-06/6b88a9d78623253c9bf5c667e09c8051.jpg"
"c6f33de4","2015-12-06","晚餐","106","麻辣烫","upload/photo/2015-12-06/45783b2b0231a0a9b0b99d65576f06af.jpg"
"c6f33de4","2015-12-07","早餐","0","无","upload/photo/2015-12-07/dc9458ed5e672f61d8d5f54692a7ce5a.jpg"
"c6f33de4","2015-12-07","午餐","0","鸡排饭","upload/photo/2015-12-07/01f11e0575cce263e4a8070bae332c91.jpg"
"c6f33de4","2015-12-07","晚餐","0","豆角、鸭腿和青菜","upload/photo/2015-12-07/7ba91847beecc81fa2635ff3dc9383b5.jpg"
