"编号","日期","类型","热量/kcal","餐品描述","照片"
"c94859c1","2015-12-01","早餐","344","二餐燃面","upload/photo/2015-12-01/104c8e687caf6f1487ff6b53a7086f97.jpg"
"c94859c1","2015-12-01","午餐","930","一餐二楼","upload/photo/2015-12-01/64eb7a1f52b8fe304efa76c4f9b30ca4.jpg"
"c94859c1","2015-12-01","晚餐","959","二餐二楼","upload/photo/2015-12-01/792876d8170dbee45fc6100dad24774e.jpg"
"c94859c1","2015-12-02","早餐","389","一碗粥加一个甜饼","upload/photo/2015-12-02/a23a9e7c36868203542742ab2139fde2.jpg"
"c94859c1","2015-12-02","午餐","907","二餐二楼","upload/photo/2015-12-02/48ddaec8a6c86fcee86a97dec8757113.jpg"
"c94859c1","2015-12-02","晚餐","999","二餐一楼","upload/photo/2015-12-02/db7e94c5632b50ee1c28e13d1ca09661.jpg"
"c94859c1","2015-12-02","夜宵","356","一杯黑芝麻糊加一盒饼干","upload/photo/2015-12-02/2b761e28a76371c87516bf3441216a80.jpg"
"c94859c1","2015-12-03","早餐","469","二餐燃面加一个煎蛋","upload/photo/2015-12-03/086bb4abe434f0945a6dbf0cc9d07ec9.jpg"
"c94859c1","2015-12-03","午餐","941","甜肉块加白菜","upload/photo/2015-12-03/0f8c08ed5a06ad24b7b5f58beb27c5d1.jpg"
"c94859c1","2015-12-03","晚餐","1036","肉块加白菜","upload/photo/2015-12-03/7d90da14f304f23e868f231c159518ec.jpg"
"c94859c1","2015-12-04","早餐","269","豆浆加馒头","upload/photo/2015-12-04/852e21d70db403a611f5ccbcff5c4f07.jpg"
"c94859c1","2015-12-04","午餐","532","小面包加巧克力","upload/photo/2015-12-04/10826dd4bd3a3db9f240c0cd5499465c.jpg"
"c94859c1","2015-12-04","晚餐","801","鱼 鸡丁 小菜 牛肉","upload/photo/2015-12-04/cea0948a1b7db47efb66eb1c4bd60c15.jpg"
"c94859c1","2015-12-05","早餐","460","稀饭 加小馒头之类的","upload/photo/2015-12-05/46632b357ac1e239f3fdb4388ecaf6cd.jpg"
"c94859c1","2015-12-05","午餐","1426","西餐 牛排 鸡块 披萨","upload/photo/2015-12-05/8b3c0457d4bb5af49db36281f4eaae92.jpg"
"c94859c1","2015-12-05","晚餐","790","饺子 臭豆腐 大香肠","upload/photo/2015-12-05/7902eea8c3da2b5fc10ed020621f2d53.jpg"
"c94859c1","2015-12-06","早餐","157","豆浆和小馒头","upload/photo/2015-12-06/03824dabcdb4d7a9b5811974837b68d0.jpg"
"c94859c1","2015-12-06","午餐","967","鸡排饭","upload/photo/2015-12-06/7297c81ea6b22c98cee0174124282666.jpg"
"c94859c1","2015-12-06","晚餐","801","飞机上餐饮 图片没有，发的其他的","upload/photo/2015-12-06/c90668507ff93d37bf75acd672176e8d.jpg"
"c94859c1","2015-12-07","早餐","428","小米粥加甜饼","upload/photo/2015-12-07/2893cc9422eeafeaf30559db420f0cae.jpg"
"c94859c1","2015-12-07","午餐","1106","大碗燃面加一碗土豆","upload/photo/2015-12-07/1d9668f5eeddca10f284d1058e4a3a72.jpg"
"c94859c1","2015-12-07","晚餐","1036","白菜鸡肉","upload/photo/2015-12-07/92cbd5edd4e7b99cd22611513097ce65.jpg"
"c94859c1","2015-12-07","夜宵","740","肉松蛋卷加黑芝麻糊","upload/photo/2015-12-07/027d5af28adc7e858d243654b0afaa65.jpg"
