"编号","日期","类型","热量/kcal","餐品描述","照片"
"cbc6593b","2015-12-01","早餐","347","粥+2个南瓜饼","upload/photo/2015-12-01/c423b70d06413006e4a2b91c5383b578.jpg"
"cbc6593b","2015-12-01","午餐","1000","炒面","upload/photo/2015-12-01/8f58d363ced8966cc078fd2d8ad2a6cb.jpg"
"cbc6593b","2015-12-01","晚餐","1123","石锅饭","upload/photo/2015-12-01/f086d71109eb4d08aa46e00f14d80fd1.jpg"
"cbc6593b","2015-12-01","夜宵","241","八宝粥","upload/photo/2015-12-01/e31c662d85691ad154c7000b415248dd.jpg"
"cbc6593b","2015-12-02","早餐","615","面包，咖啡","upload/photo/2015-12-02/9afaea22bf2110882aca23647760b91d.jpg"
"cbc6593b","2015-12-02","午餐","610","面包，橘子","upload/photo/2015-12-02/c07b6372822b0458b8b7d663fbf9aecc.jpg"
"cbc6593b","2015-12-02","晚餐","528","叉烧蚝士粥，鲜虾烧卖","upload/photo/2015-12-02/833b064b25a42ff50048999ae0f0854a.jpg"
"cbc6593b","2015-12-03","早餐","504","包子","upload/photo/2015-12-03/c98cec374ae4c46e02b2e42912c457fd.jpg"
"cbc6593b","2015-12-03","午餐","934","酸汤肥牛火锅（都是菜叶...）","upload/photo/2015-12-03/7173e1c3547af4b919880b3ac99c6aac.jpg"
"cbc6593b","2015-12-03","晚餐","415","南瓜饼，粥","upload/photo/2015-12-03/f9487066a40a9d7e37fc389154abb8c4.jpg"
"cbc6593b","2015-12-04","早餐","536","两片面包，八宝粥","upload/photo/2015-12-04/0cddc37e1e3ac2740b0b72d6ae3344c7.jpg"
"cbc6593b","2015-12-04","午餐","1123","石锅饭（忘拍照了,用之前的照片...吃的都差不多）","upload/photo/2015-12-04/8991d5fd0dded1dd3cae27f328c3a351.jpg"
"cbc6593b","2015-12-04","晚餐","1158","盖浇饭","upload/photo/2015-12-04/20be386fa6b1d44e05b51e9b3a0ff1af.jpg"
"cbc6593b","2015-12-04","晚餐","1158","盖浇饭","upload/photo/2015-12-04/9f74bf71f2f043a701c7d7421a02a83c.jpg"
"cbc6593b","2015-12-04","下午茶","398","方便面","upload/photo/2015-12-04/02e2bbf4c74fbccc2c649df0f5955819.jpg"
"cbc6593b","2015-12-05","早餐","0","没吃","upload/photo/2015-12-05/6ab34e24d6eecbfe656989ee75870c4b.jpg"
"cbc6593b","2015-12-05","午餐","944","牛肉干锅","upload/photo/2015-12-05/d22db26448abbf9ca5b801c2e6102268.jpg"
"cbc6593b","2015-12-05","晚餐","64","一杯咖啡（没拍照片，就是一餐边甜魔咖啡）","upload/photo/2015-12-05/3f948b48119de1365990b2dee9574f21.jpeg"
"cbc6593b","2015-12-05","夜宵","642","三个肉包子","upload/photo/2015-12-05/e379cce2ea9d249eac708ea1ec53eca6.jpg"
"cbc6593b","2015-12-06","早餐","0","没吃","upload/photo/2015-12-06/8c84ce03c087ba4d7c931389b65443b8.jpeg"
"cbc6593b","2015-12-06","午餐","245","八宝粥","upload/photo/2015-12-06/3b8ab656e641a0078f3ed17eebdccaf2.jpg"
"cbc6593b","2015-12-06","晚餐","968","土豆肉片盖饭（忘拍图了）","upload/photo/2015-12-06/90ce6b4b29a040210331f505fc2b0953.png"
"cbc6593b","2015-12-07","早餐","932","面包，奶茶","upload/photo/2015-12-07/3294eb88c61ff31ea288c358f13cd32e.jpg"
"cbc6593b","2015-12-07","午餐","0","没吃","upload/photo/2015-12-07/fafce0b20c4b0e5c7cdea6ee158d6cec.jpg"
"cbc6593b","2015-12-07","晚餐","920","两个南瓜饼，一碗粥","upload/photo/2015-12-07/2c6624120d77ac1084bc1299f4c73ec4.jpg"
"cbc6593b","2015-12-07","下午茶","964","两个肉粽","upload/photo/2015-12-07/274afd64661edee3f5dfe940ef19c827.jpg"
