"编号","日期","类型","热量/kcal","餐品描述","照片"
"d020035e","2015-12-01","早餐","193","豆腐花和紫菜包饭","upload/photo/2015-12-01/1887f99224d07d55a5193265f4c42d12.jpg"
"d020035e","2015-12-01","午餐","210","贡丸汤和白米饭","upload/photo/2015-12-01/66069336cc432e556880adea1f868d09.jpg"
"d020035e","2015-12-01","晚餐","301","炸土豆和玉米团","upload/photo/2015-12-01/eb36bf0dbdb737124f474a4f6754dcaf.jpg"
"d020035e","2015-12-02","早餐","335","豆浆和烧饼","upload/photo/2015-12-02/46c5f39b3b592af63a52229510b93efc.jpg"
"d020035e","2015-12-02","午餐","590","烤肉饭","upload/photo/2015-12-02/e4880ca0e5090c8f7ee5938ba10c655a.jpg"
"d020035e","2015-12-02","晚餐","335","包子和面包","upload/photo/2015-12-02/4a1ce1d5de9fc99fda6825937919b6bf.jpg"
"d020035e","2015-12-03","早餐","253","鸡肉卷","upload/photo/2015-12-03/3af33233be4114f80eca7bc0a706f9e1.jpg"
"d020035e","2015-12-03","午餐","360","虾仁肉大馄饨","upload/photo/2015-12-03/9d19a8da5e577d7a4abc6b552bc0cebc.jpg"
"d020035e","2015-12-03","晚餐","420","不健康长肉但是灰常好吃的炸鸡","upload/photo/2015-12-03/7269e9a7ef83b94123bc3d4fcdcd0fb5.jpg"
"d020035e","2015-12-04","早餐","120","紫菜包饭","upload/photo/2015-12-04/5aab6f97de9a52f897bd328306c52d0b.jpg"
"d020035e","2015-12-04","午餐","360","鸡排饭","upload/photo/2015-12-04/2988a1bf18b7ad3eed771b48fd737b90.jpg"
"d020035e","2015-12-04","晚餐","330","炸鸡排","upload/photo/2015-12-04/f7daa787cb7e8c883656b3001bcc965f.jpg"
"d020035e","2015-12-05","早餐","230","手抓饼","upload/photo/2015-12-05/d0513c7a48910c2bec4f01ed37b3e91b.jpg"
"d020035e","2015-12-05","午餐","550","烤肉饭","upload/photo/2015-12-05/4032d52afc622085001ed4730c100aa5.jpg"
"d020035e","2015-12-05","晚餐","420","炸土豆","upload/photo/2015-12-05/0c4ea519d18b966a56a3c86f4466a7d5.jpg"
"d020035e","2015-12-06","早餐","230","糍饭团","upload/photo/2015-12-06/34a85360531db8ad5a39a20313fad4d2.jpg"
"d020035e","2015-12-06","午餐","315","面包，热狗卷","upload/photo/2015-12-06/2c55fd5693a194d55f38ab1f947540cb.jpg"
"d020035e","2015-12-06","晚餐","300","炒饭","upload/photo/2015-12-06/1cc7ec14374ef1e3b6598a1b4196eeb2.jpg"
"d020035e","2015-12-07","早餐","280","手抓饼","upload/photo/2015-12-07/d461810116023580cd749d0ea5e2bea6.jpg"
"d020035e","2015-12-07","午餐","480","宫保鸡丁燃面","upload/photo/2015-12-07/b7dbb82a6eb0186abd0596944c1e0a83.jpg"
"d020035e","2015-12-07","晚餐","628","猪排饭","upload/photo/2015-12-07/83331610fee3b241111c06ccd33d1ed2.jpg"
