"编号","日期","类型","热量/kcal","餐品描述","照片"
"d2667219","2015-12-01","早餐","342","面包+豆浆","upload/photo/2015-12-01/4a97981a32e40547d86ecc9e434cfd21.jpg"
"d2667219","2015-12-01","午餐","469","咸鸡腿饭配西红柿蛋汤","upload/photo/2015-12-01/c1177ad4b0210779e7b84c59458f8cff.jpg"
"d2667219","2015-12-01","晚餐","356","小笼包+红薯+牛肉汤","upload/photo/2015-12-01/32bc4f4c4e92cb17f449af6d88114f02.jpg"
"d2667219","2015-12-03","午餐","198","红薯一根","upload/photo/2015-12-03/8a5e00ccac2809026bd66dcbac8f2257.jpg"
"d2667219","2015-12-03","晚餐","485","排骨+米饭+汤","upload/photo/2015-12-03/bb6dfd90fcb2dab432d48af355b7961f.jpg"
"d2667219","2015-12-04","午餐","531","葱油拌面+荷包蛋","upload/photo/2015-12-04/5961bfc957d4690200b6151da49a36f2.jpg"
"d2667219","2015-12-04","晚餐","520","煲仔饭","upload/photo/2015-12-04/24e2f3869b7e454cd7bb8da7eeefcf8d.jpg"
"d2667219","2015-12-04","晚餐","476","咖喱牛腩","upload/photo/2015-12-04/42ed105fc11a7bc2ccdbc875bde7744f.jpg"
"d2667219","2015-12-04","晚餐","52","蒜蓉花椰菜","upload/photo/2015-12-04/f9c6e8dff6526e00add7d28648ced850.jpg"
"d2667219","2015-12-04","下午茶","231","星巴克拿铁","upload/photo/2015-12-04/4be773f72bd4d569e99146f690a2877e.jpg"
"d2667219","2015-12-05","午餐","472","泡面","upload/photo/2015-12-05/63a6a80efe222716882a2d54c1859086.jpg"
"d2667219","2015-12-05","晚餐","282","寿司","upload/photo/2015-12-05/368ee7ef3d50fe22f7f0bd501d047e29.jpg"
"d2667219","2015-12-06","早餐","386","豆浆油条","upload/photo/2015-12-06/22f8c6f50b24615b843ac8b14e7b8da9.jpg"
"d2667219","2015-12-06","午餐","375","小馄饨一碗（18个）","upload/photo/2015-12-06/b1e6f499e68224b663e90a6097b60cbf.jpg"
"d2667219","2015-12-06","晚餐","670","海鲜龙虾锅","upload/photo/2015-12-06/4df3f7665e3d53a822ffbb85b1e2cdb5.jpg"
"d2667219","2015-12-06","晚餐","620","蟹肉藕饼","upload/photo/2015-12-06/9ad3fab2616dfd6ddefb1aa4f550674d.jpg"
"d2667219","2015-12-06","晚餐","460","鹅肝酱配面包","upload/photo/2015-12-06/f9d42345316b4b1bf0db2e8673159003.jpg"
"d2667219","2015-12-07","午餐","200","红薯","upload/photo/2015-12-07/5da38ffc5aa032888a58e803ee6df72b.jpg"
"d2667219","2015-12-07","晚餐","197","牛奶+麦片","upload/photo/2015-12-07/97e9846724c92f0635aa0c5c64ef1140.jpg"
