"编号","日期","类型","热量/kcal","餐品描述","照片"
"d38d4484","2015-12-01","早餐","304","永和豆浆一杯，葱油饼一个","upload/photo/2015-12-01/d20d073878274200793dc284d2140b25.jpg"
"d38d4484","2015-12-01","晚餐","564","炖猪手","upload/photo/2015-12-01/76de7fd66cc4deee3bcd7b17d7f7f3d3.jpg"
"d38d4484","2015-12-02","早餐","272","一个肉包 一袋豆浆","upload/photo/2015-12-02/d5b74baa924c9047e0200cf8a433f11f.jpg"
"d38d4484","2015-12-02","午餐","457.5","如图 有荤有素 鸡腿微辣","upload/photo/2015-12-02/cf8a709e655c2034f504d322a959bd4c.jpg"
"d38d4484","2015-12-02","晚餐","571.5","黄豆炖猪蹄。四季豆","upload/photo/2015-12-02/873557d93fb5f8698216f0dcf4f48cb0.jpg"
"d38d4484","2015-12-03","早餐","121","一个土豆卷 一袋豆奶","upload/photo/2015-12-03/a157fc5adf34d46b89353ae97fa3614e.jpg"
"d38d4484","2015-12-03","午餐","929.5","豆荚 粉蒸肉 烧白","upload/photo/2015-12-03/2e0b0427413637dc61e6562fd7028938.jpg"
"d38d4484","2015-12-03","晚餐","187.5","一碗牛肉面","upload/photo/2015-12-03/8a999c2571d493967777fe1b02546e50.jpg"
"d38d4484","2015-12-04","午餐","157.5","早餐没吃 午餐牛肉拉面 忘记拍了orz","upload/photo/2015-12-04/f161160eee0e5ccc373f2c906521e3de.jpg"
"d38d4484","2015-12-04","夜宵","47","一个橙子。 现拍一张吧。","upload/photo/2015-12-04/6d7ec4c5c5dc81ca979f5a4554b914da.jpg"
"d38d4484","2015-12-05","早餐","0","没吃","upload/photo/2015-12-05/d29aac5484cd317746d8330ceebd7e17.jpg"
"d38d4484","2015-12-05","午餐","307.5","老鸭粉丝汤","upload/photo/2015-12-05/d4b78c34d180a17f77b3d17aa47f4565.jpg"
"d38d4484","2015-12-05","晚餐","916","是晚上八点过吃的算是宵夜吧 牛奶加麦片家奥利奥","upload/photo/2015-12-05/dd7bf14229e550c8bcf65b8058f37ac6.jpg"
"d38d4484","2015-12-06","早餐","0","12点起的没吃","upload/photo/2015-12-06/a200ea0b1c8306e0f29af2d740fe1289.jpg"
"d38d4484","2015-12-06","午餐","447","大碗抄手","upload/photo/2015-12-06/75ea9ff18e70cb4e4aaa6e355e8b2163.jpg"
"d38d4484","2015-12-06","晚餐","189","一个玉米 一碗银耳汤","upload/photo/2015-12-06/40313e01fb2924b8bfecd7ff6a7f3fa9.jpg"
"d38d4484","2015-12-07","早餐","0","起晚了没吃","upload/photo/2015-12-07/cb287ceea4ee6b1fdcde133cf137847f.jpg"
"d38d4484","2015-12-07","午餐","0","粉蒸肉 青菜","upload/photo/2015-12-07/812600af7d3965ddd9d78ec522757f62.jpg"
"d38d4484","2015-12-07","午餐","753","粉蒸肉 青菜","upload/photo/2015-12-07/5063e223db904c8c0f1ff08618fdec75.jpg"
