"编号","日期","类型","热量/kcal","餐品描述","照片"
"d633f20e","2015-12-01","早餐","280","膨化食品和能量棒","upload/photo/2015-12-01/a9e4265f7fc668ea9e51305313b45403.jpg"
"d633f20e","2015-12-01","午餐","600","炒粉","upload/photo/2015-12-01/b63a977415b93bdde242a7ec0375eef5.jpg"
"d633f20e","2015-12-01","晚餐","1093","鸡排饭","upload/photo/2015-12-01/ea2b77bddb32d91080beec91e588fc56.jpg"
"d633f20e","2015-12-02","早餐","1500","饼干，爆米花","upload/photo/2015-12-02/bdea51d121387f052638383d06b8a6eb.jpg"
"d633f20e","2015-12-02","午餐","401","方便面","upload/photo/2015-12-02/e9d0777f533584c05387e64d002054fe.jpg"
"d633f20e","2015-12-02","晚餐","1261","台湾卤肉饭，豆腐","upload/photo/2015-12-02/0ac73526a438baa1438a8c7c34043695.jpg"
"d633f20e","2015-12-03","早餐","971","汤圆，蒸饺","upload/photo/2015-12-03/5f89dadfd1e8ece4eceb7808f0781fdf.jpg"
"d633f20e","2015-12-03","午餐","1229","干锅牛肉","upload/photo/2015-12-03/b913c8144b47b3e92616ec0d6133542d.jpg"
"d633f20e","2015-12-03","晚餐","709","馒头，玉米饼，芝麻糊","upload/photo/2015-12-03/f709dc8afe5348f541039bc2f2b406d7.jpg"
"d633f20e","2015-12-04","早餐","544","火腿肠，薯片，肉松饼","upload/photo/2015-12-04/3fe8e2661ee17fb818f9929f0d07aaf6.jpg"
"d633f20e","2015-12-04","午餐","570","桂林米粉","upload/photo/2015-12-04/2e79ec910f12a64feeaa87bb678b10b7.jpeg"
"d633f20e","2015-12-04","晚餐","1065","黄焖鸡米饭","upload/photo/2015-12-04/b70da92aa6c2051847ffab04d2539b70.jpg"
"d633f20e","2015-12-05","早餐","544","火腿肠，肉松饼，薯片","upload/photo/2015-12-05/649b4233aac5bce71e31cefd5e6abea6.jpg"
"d633f20e","2015-12-05","午餐","862","无","upload/photo/2015-12-05/2e849c1e60a0feffbd0e6b1d83a9d1c2.jpg"
"d633f20e","2015-12-05","晚餐","862","鸡排饭","upload/photo/2015-12-05/57a8afa6f32689c17aef4bf1f4232cfd.jpg"
"d633f20e","2015-12-06","早餐","401","方便面","upload/photo/2015-12-06/b28d664fcfcfdc0bd7043c28a2c8fa6e.jpg"
"d633f20e","2015-12-06","午餐","966","包菜，烧肉，饭","upload/photo/2015-12-06/aedc489ec928d1a835989e319a380842.jpg"
"d633f20e","2015-12-06","晚餐","996","烤肉饭","upload/photo/2015-12-06/06ad8c5174eed1dbc0d66617b842b4cd.jpg"
"d633f20e","2015-12-07","早餐","762","面包棒","upload/photo/2015-12-07/968dc9abafd205aa6803abbd26ea1d80.jpg"
"d633f20e","2015-12-07","午餐","957","黄焖鸡米饭","upload/photo/2015-12-07/b68fb21e2d8df925c3fe9c9b44bc4918.jpg"
"d633f20e","2015-12-07","晚餐","837","土豆，肉，饭，汤","upload/photo/2015-12-07/a8c14bf9226d62098319f58e7a2b2f49.jpg"
