"编号","日期","类型","热量/kcal","餐品描述","照片"
"d8070f49","2015-12-01","早餐","0","一个旺旺雪饼，一个梅菜扣肉包","upload/photo/2015-12-01/ef7bdab050186a5f5d39bfecf29999eb.jpg"
"d8070f49","2015-12-01","午餐","0","豆干豆角烤肉串","upload/photo/2015-12-01/9c0997dce87dec2ad7390773c3942516.jpg"
"d8070f49","2015-12-01","晚餐","0","卷心菜 黄豆猪蹄","upload/photo/2015-12-01/06609ee438531065c056d52a880528b3.jpg"
"d8070f49","2015-12-02","早餐","0","四勺燕麦片","upload/photo/2015-12-02/7290c2077a075eb687ab46d97f8f0b86.jpg"
"d8070f49","2015-12-02","午餐","0","黄瓜肉丁饭","upload/photo/2015-12-02/fa7c2be3a08ef4ab5effb82d9ef0a134.jpg"
"d8070f49","2015-12-02","晚餐","0","燃面","upload/photo/2015-12-02/5016e1b7ea1f666d0a5100413d81c07a.jpg"
"d8070f49","2015-12-03","早餐","0","韭菜盒子（因为早上出门没带手机所以没有照片","upload/photo/2015-12-03/9a22637febcffa56ea24b593ee101914.jpg"
"d8070f49","2015-12-03","午餐","0","西红柿炒蛋，肉丸，二两饭","upload/photo/2015-12-03/817945d704f624ea3e3589e094704f31.jpg"
"d8070f49","2015-12-03","晚餐","0","豆腐，黄豆猪蹄，二两饭","upload/photo/2015-12-03/b3c7191c3193647f1d787e05a9958fca.jpg"
"d8070f49","2015-12-04","早餐","307.2","40g 麻花 160g 光明牛奶一杯","upload/photo/2015-12-04/7a9f54aa3aea8e30810df7084f4c91f1.jpg"
"d8070f49","2015-12-04","午餐","581","豆腐 黄豆猪脚 紫菜汤 2两饭","upload/photo/2015-12-04/b189c391f2522dbb62a61db11a614b28.jpg"
"d8070f49","2015-12-04","晚餐","346","宜宾燃面","upload/photo/2015-12-04/264d748a5c5b88337aeca5a0b45ad053.jpg"
"d8070f49","2015-12-05","早餐","0","起太晚，没有吃","upload/photo/2015-12-05/2ead1265f9f68f04c87dd843924618cd.jpg"
"d8070f49","2015-12-05","午餐","574","点外卖 甜玉米私房双肉丁","upload/photo/2015-12-05/cfcf9c2d5cae2c784499dffeae66f30a.jpg"
"d8070f49","2015-12-05","晚餐","346","华联的辣子鸡面","upload/photo/2015-12-05/3f63c48ebd9a5824345f42849d9f5168.jpg"
"d8070f49","2015-12-06","早餐","0","麻花40g","upload/photo/2015-12-06/3408ac39414c9bf68f691fd08449a76e.jpg"
"d8070f49","2015-12-06","午餐","32","什锦牛肉粥","upload/photo/2015-12-06/7f1d7d6512050ad38d7d232d50adc3f7.jpg"
"d8070f49","2015-12-06","晚餐","266","烤肉饭","upload/photo/2015-12-06/6ce88465b506b606e2e1e698e4057438.jpg"
"d8070f49","2015-12-07","早餐","0","二餐的千层饼，麦片粥一份","upload/photo/2015-12-07/6c0b0b0af3f3ed6ba96a8f14b126c024.jpg"
"d8070f49","2015-12-07","午餐","0","酱鸭腿，豆腐，二两饭(图片无关","upload/photo/2015-12-07/1017d8970c59d524b697599996e1da9b.jpg"
"d8070f49","2015-12-07","晚餐","0","吼吼吼～又是最爱的燃面，加一份豆干","upload/photo/2015-12-07/769e767aedb0f553311a4be9c0280d6c.jpg"
