"编号","日期","类型","热量/kcal","餐品描述","照片"
"d8e48d61","2015-12-01","早餐","498","粥和包子","upload/photo/2015-12-01/0fb0bd4dc0a9696a51b5823197fc8d2a.jpg"
"d8e48d61","2015-12-01","午餐","505","烤肉饭","upload/photo/2015-12-01/c32ef56630b10b86fa35621d1039ebfc.jpg"
"d8e48d61","2015-12-01","晚餐","612","面包","upload/photo/2015-12-01/960cfbc3a1c6ca74a47ca5c690dccdd9.jpg"
"d8e48d61","2015-12-02","早餐","288","粥，包子","upload/photo/2015-12-02/fd8ae9f8ea617c70885d0815fd3649d6.jpg"
"d8e48d61","2015-12-02","午餐","379","麻辣香锅（两个人分）","upload/photo/2015-12-02/1143fd0f3be1bacfca76326caa0eeff3.jpg"
"d8e48d61","2015-12-02","晚餐","433","两素一荤","upload/photo/2015-12-02/d0c8f5c18c934c216dc3164b8bbfe401.jpg"
"d8e48d61","2015-12-03","早餐","0","没吃","upload/photo/2015-12-03/332b5f9631c047c9990b4a37578f0492.jpg"
"d8e48d61","2015-12-03","午餐","367","腐竹牛腩","upload/photo/2015-12-03/948ccc561d6b9625171e1d28f1c00466.jpg"
"d8e48d61","2015-12-03","晚餐","513","豆腐，肉，莴笋","upload/photo/2015-12-03/9963cf82ff46026b14af31d44ec2f969.jpg"
"d8e48d61","2015-12-04","早餐","277","馒头，寿司","upload/photo/2015-12-04/50d8062d38c74e448aa8ed556e435a47.jpg"
"d8e48d61","2015-12-04","午餐","412","一荤，一素","upload/photo/2015-12-04/39407644d3e999e7f6c5e1bfc5700b17.jpg"
"d8e48d61","2015-12-04","晚餐","487","孜然鸡肉","upload/photo/2015-12-04/1ee4238d21959011d45d69a4641f2c26.jpg"
"d8e48d61","2015-12-05","早餐","600","面包","upload/photo/2015-12-05/16eca2619ea820f55c72650bc2f28e02.jpg"
"d8e48d61","2015-12-05","午餐","589","金针菇肥牛","upload/photo/2015-12-05/e3fd520104970eb265ac93d070742753.jpg"
"d8e48d61","2015-12-05","晚餐","499","一荤一素","upload/photo/2015-12-05/0c24dfa0ebbc3919a266fa189e319abe.jpg"
"d8e48d61","2015-12-06","早餐","297","包子，粥","upload/photo/2015-12-06/98cba1d5367ac81a780c87c01eb45fce.jpg"
"d8e48d61","2015-12-06","午餐","499","一荤一素","upload/photo/2015-12-06/a98198cdff9322e52c35896c325bde59.jpg"
"d8e48d61","2015-12-06","晚餐","546","一荤一素","upload/photo/2015-12-06/8379a0c12fd0dad6110a65c01baa794c.jpg"
"d8e48d61","2015-12-07","早餐","472","肉松夹馍，包子","upload/photo/2015-12-07/67fbb65112f8e483837c502cbef2874c.jpg"
"d8e48d61","2015-12-07","午餐","418","年糕","upload/photo/2015-12-07/acb075fe681487881a1018feaecf5c87.jpg"
"d8e48d61","2015-12-07","晚餐","612","两素一荤","upload/photo/2015-12-07/cd5b289f5bcab22c39512ebcb3f4fa99.jpg"
