"编号","日期","类型","热量/kcal","餐品描述","照片"
"da1ff971","2015-12-01","早餐","671","豆浆+生煎*5","upload/photo/2015-12-01/9dc055125925e54bdb3f9d49322e0818.jpg"
"da1ff971","2015-12-01","午餐","474.5","三餐里脊肉饭","upload/photo/2015-12-01/f2235e8866d0cd8c36421932ae44d8d7.jpeg"
"da1ff971","2015-12-01","晚餐","898","三餐牛肉干锅+热巧克力一杯","upload/photo/2015-12-01/a1946d15906147d541fc7c9d861863bb.jpeg"
"da1ff971","2015-12-02","早餐","408.6","6块饼干","upload/photo/2015-12-02/013c43c7ca89d1f04422361fb374d0c3.jpeg"
"da1ff971","2015-12-02","午餐","395","五餐酱爆牛肉盖浇饭","upload/photo/2015-12-02/da1f67dbb89a2d8bf15f82900e19bd63.jpeg"
"da1ff971","2015-12-02","晚餐","564.5","二餐担仔面","upload/photo/2015-12-02/b4ae755b30775d9e10daac38f5a3de6b.jpeg"
"da1ff971","2015-12-02","夜宵","470","拿铁咖啡","upload/photo/2015-12-02/24e5701262e177bc93af40d9a459a7c9.jpeg"
"da1ff971","2015-12-03","早餐","834.5","糖糕+豆浆","upload/photo/2015-12-03/299cdd46ffb23787b4dff07471e6de44.jpeg"
"da1ff971","2015-12-03","午餐","925","啤酒鸭米粉","upload/photo/2015-12-03/650885923574e0887546e4c5ff6f5e0a.jpeg"
"da1ff971","2015-12-03","晚餐","517","巴西烤肉饭","upload/photo/2015-12-03/ba769298782bce60b2a2caba029fe3b8.jpeg"
"da1ff971","2015-12-04","早餐","0","没吃","upload/photo/2015-12-04/d4e26e51ba6deef310786d200447a66d.jpeg"
"da1ff971","2015-12-04","午餐","611","卤肉饭","upload/photo/2015-12-04/b660666a214fd73bdeb669f85293ffd5.jpeg"
"da1ff971","2015-12-05","早餐","567","蛋糕","upload/photo/2015-12-05/c76b98dedfffb1b129b0e6c0e56939b9.jpeg"
"da1ff971","2015-12-07","早餐","829","红豆芋圆汤+鸡排","upload/photo/2015-12-07/6523232188d11056e92aed2d5e0dac9d.jpeg"
"da1ff971","2015-12-07","早餐","710","饼干","upload/photo/2015-12-07/f6e6a4c945e074a8f14ed4e1e02374a9.jpeg"
