"编号","日期","类型","热量/kcal","餐品描述","照片"
"dad1da90","2015-12-01","早餐","325","鸡蛋，豆腐干，椰奶","upload/photo/2015-12-01/4c981a318fb1e4f8928c44e342bb9377.jpg"
"dad1da90","2015-12-01","午餐","397","米饭，土豆","upload/photo/2015-12-01/98b47ab7892e72c0e564ee1dcba5d584.jpg"
"dad1da90","2015-12-01","晚餐","424","米饭，肥牛","upload/photo/2015-12-01/7e748fb7939e739186eb1f194ceab4c7.jpg"
"dad1da90","2015-12-02","早餐","231","粥，虾仁","upload/photo/2015-12-02/d8efc3b72c5f310cd4f065ecbf79b42c.jpg"
"dad1da90","2015-12-02","午餐","512","火锅肉，饭","upload/photo/2015-12-02/116a7427f01291a6eb525818cfab897b.jpg"
"dad1da90","2015-12-02","晚餐","423","土豆，饭，汤，肉","upload/photo/2015-12-02/94398f571134f0278e64d8c4eb212ac7.jpg"
"dad1da90","2015-12-03","早餐","325","鸡蛋，椰奶","upload/photo/2015-12-03/4c6a28e1b320856a78812bc5c5e05799.jpg"
"dad1da90","2015-12-03","午餐","512","午餐肉，饭","upload/photo/2015-12-03/00f013b802a48fd0cb23d5cc71110c80.jpg"
"dad1da90","2015-12-03","晚餐","621","牛肉拌面，汤","upload/photo/2015-12-03/60e150a952999482d9bbda336757ece1.jpg"
"dad1da90","2015-12-04","早餐","282","水饺，忘拍了，差不多是这种","upload/photo/2015-12-04/2a7f1e11b097ad665db89f5beede38e2.jpg"
"dad1da90","2015-12-04","午餐","574","烤鸭饭，汤","upload/photo/2015-12-04/0640b309a38a66818bf8c793b096ebaf.jpg"
"dad1da90","2015-12-04","晚餐","621","牛肉拌面","upload/photo/2015-12-04/db3b0c42c34ab89abec25d445a077ef9.jpg"
"dad1da90","2015-12-05","早餐","281","水饺","upload/photo/2015-12-05/a95f1217e910173481cc005bcd7b8cdd.jpg"
"dad1da90","2015-12-05","午餐","711","烤肉饭，玉米排骨汤","upload/photo/2015-12-05/3a3c09a05e9b54957d7e21e1389f12d9.jpg"
"dad1da90","2015-12-05","晚餐","597","牛肉拌面","upload/photo/2015-12-05/d5060812b298482defb4a9e4b7af2188.jpg"
"dad1da90","2015-12-06","早餐","314","鸡蛋椰奶","upload/photo/2015-12-06/7d5778e474ea66239dd5dacac008f39b.jpg"
"dad1da90","2015-12-06","午餐","579","午餐肉，饭，蛋","upload/photo/2015-12-06/89a6cf6851bf616c6c73ab53dc815c70.jpg"
"dad1da90","2015-12-06","晚餐","599","牛肉拌面，汤","upload/photo/2015-12-06/a58b3f5ae13ff80d330dc3e641fa7bff.jpg"
"dad1da90","2015-12-07","早餐","281","水饺","upload/photo/2015-12-07/f11276adeecbcbd12f4b12941e5f15d8.jpg"
"dad1da90","2015-12-07","午餐","556","烤鸭饭","upload/photo/2015-12-07/cd9837b7780d7fcecbfb5e95e078b3ba.jpg"
"dad1da90","2015-12-07","晚餐","599","牛肉拌面","upload/photo/2015-12-07/29c6ebdec820bdfcfa2b496423d4c0b4.jpg"
