"编号","日期","类型","热量/kcal","餐品描述","照片"
"dd0c5b7b","2015-12-01","早餐","314.5","吐司+麥片","upload/photo/2015-12-01/96e44ebe391ca2569fdbf47bb68c087c.jpg"
"dd0c5b7b","2015-12-01","午餐","98","小雞燉蘑菇","upload/photo/2015-12-01/85d320ccb942f876bece4b950cca61f2.jpg"
"dd0c5b7b","2015-12-01","晚餐","248","西式爆魚飯","upload/photo/2015-12-01/a913345bc81590dfb75bcd147b46f569.jpg"
"dd0c5b7b","2015-12-02","早餐","261","一個雞蛋灌餅還有豆漿","upload/photo/2015-12-02/d2534ad9aa8027dd1a150e8457449bed.jpg"
"dd0c5b7b","2015-12-02","午餐","470","披薩","upload/photo/2015-12-02/cfb28f16567d6b2221adfeeb4cf290d6.jpg"
"dd0c5b7b","2015-12-02","晚餐","324","吉姆利德的黑椒雞鐵板飯","upload/photo/2015-12-02/6aff22215ff96d0332f29db100991ea7.jpg"
"dd0c5b7b","2015-12-02","夜宵","448","凱撒雞排","upload/photo/2015-12-02/bdb3c74fa25377ebb338e4896dcad144.jpg"
"dd0c5b7b","2015-12-03","早餐","351","麥片","upload/photo/2015-12-03/4692b8457b63a18553394402a081f591.jpg"
"dd0c5b7b","2015-12-03","午餐","449","三明治","upload/photo/2015-12-03/f251cdab8d29a5b2a1c340cb4ab59bec.jpg"
"dd0c5b7b","2015-12-03","晚餐","472","砂鍋+飯","upload/photo/2015-12-03/5c7ad4bbce7870481f323480d6f71a7c.jpg"
"dd0c5b7b","2015-12-04","早餐","278","吐司","upload/photo/2015-12-04/88b5927beaaa6d3b7bdbdc2dc2a24ebf.jpg"
"dd0c5b7b","2015-12-04","午餐","564","雞排飯","upload/photo/2015-12-04/c4fb162fe11f99631fb55f0d46610757.jpg"
"dd0c5b7b","2015-12-04","晚餐","496","法國餅","upload/photo/2015-12-04/6431290bcea3e25370e4f29a3b873e18.jpg"
"dd0c5b7b","2015-12-05","早餐","244","吐司","upload/photo/2015-12-05/e793b4d7e7f03c23f5d1eb1c433ffa00.jpg"
"dd0c5b7b","2015-12-05","晚餐","432","牛肉火鍋+飯","upload/photo/2015-12-05/71cab5cb04db3784d7e06c7b9f2b3684.jpg"
"dd0c5b7b","2015-12-06","早餐","244","吐司","upload/photo/2015-12-06/79ddf4b549e68b6af19b08a453b40a13.jpg"
"dd0c5b7b","2015-12-06","午餐","462","石鍋拌飯","upload/photo/2015-12-06/57ec8a3ad7f5744c9b0e6e2e05f326f2.jpg"
"dd0c5b7b","2015-12-06","晚餐","512","咖哩蛋包飯","upload/photo/2015-12-06/83aceaa956fc2a09148caebf2fa69006.jpg"
"dd0c5b7b","2015-12-07","早餐","537","巧克力吐司","upload/photo/2015-12-07/2a809657bf0e88ff64febaf408356255.jpg"
"dd0c5b7b","2015-12-07","午餐","462","石鍋拌飯","upload/photo/2015-12-07/9db82f8387f32f0b19740d8ca296b706.jpg"
"dd0c5b7b","2015-12-07","晚餐","30","蘋果","upload/photo/2015-12-07/d235ce30741941e70edc38ec87994636.jpg"
