"编号","日期","类型","热量/kcal","餐品描述","照片"
"e02d9424","2015-12-01","早餐","890","豆奶 玉米饼 夹馍","upload/photo/2015-12-01/821257ff99ba8e175c63d357c2d234d9.jpeg"
"e02d9424","2015-12-01","午餐","746.5","","upload/photo/2015-12-01/279ffbc12e5842c6c0562d59efb535b6.jpeg"
"e02d9424","2015-12-01","晚餐","742","","upload/photo/2015-12-01/e8dad0e8392daa7706dd083e4eed87cc.jpeg"
"e02d9424","2015-12-02","早餐","649","菜包子 牛奶","upload/photo/2015-12-02/f8ac5841b146de6f608509641afc3adf.jpeg"
"e02d9424","2015-12-02","早餐","649","","upload/photo/2015-12-02/120bbe3a4625c884d58b706e95a0414c.jpeg"
"e02d9424","2015-12-02","午餐","553.5","","upload/photo/2015-12-02/205e283f3c504b5f50096cf849db78a1.jpeg"
"e02d9424","2015-12-02","午餐","748","","upload/photo/2015-12-02/2eb4b79d13aad56c9182485918d61ffd.jpeg"
"e02d9424","2015-12-02","晚餐","414","番茄肉酱面 粥","upload/photo/2015-12-02/c6c6f78ce24138561c9f239c54f90140.jpeg"
"e02d9424","2015-12-03","早餐","890","菜包子 夹馍 豆奶","upload/photo/2015-12-03/f0f4459ee379778f7a449e8203337cd5.jpeg"
"e02d9424","2015-12-03","午餐","735","荷香叶饭","upload/photo/2015-12-03/ab88ced2c6caf8865f1a73c7cd757bcd.jpeg"
"e02d9424","2015-12-03","晚餐","537","番茄牛肉饭","upload/photo/2015-12-03/66e242fbee7dd243f4936a43fc112b86.jpeg"
"e02d9424","2015-12-04","早餐","616.5","妙芙 饼干 奶茶","upload/photo/2015-12-04/3c456e5d3e8df62670ce01c3f418494a.jpeg"
"e02d9424","2015-12-04","午餐","864","鸡排 白菜","upload/photo/2015-12-04/695cf4d5bcdbda57e54f88ef9445ed29.jpeg"
"e02d9424","2015-12-04","晚餐","735","荷香叶饭","upload/photo/2015-12-04/70aef301a6fc20ba7fc4feaf71e6ae4c.jpeg"
"e02d9424","2015-12-05","早餐","442","煎蛋 面包片 沙拉","upload/photo/2015-12-05/fb9f944017b55e45c1b62a0d1d840194.jpeg"
"e02d9424","2015-12-05","午餐","0","调试无人机并没有吃饭","upload/photo/2015-12-05/70e691403cfb5f7350766e904f9d3b68.jpeg"
"e02d9424","2015-12-05","晚餐","800","酸汤肥牛 豆腐 狮子头 麻花","upload/photo/2015-12-05/ce3374fe93d132e885b3e20f1d92c98a.jpeg"
"e02d9424","2015-12-06","早餐","482.5","煎蛋 牛奶 蛋糕","upload/photo/2015-12-06/ba6ecdf48beebe563e5d0c6287348fb5.jpeg"
"e02d9424","2015-12-06","午餐","530","肉夹馍 西红柿鸡蛋面","upload/photo/2015-12-06/0829e139de4249898568824a0b5dbc26.jpeg"
"e02d9424","2015-12-06","晚餐","735","荷香叶饭","upload/photo/2015-12-06/1eb4368b0b383a834536ca2380fe8406.jpeg"
"e02d9424","2015-12-07","早餐","700","菜包子 豆沙包 豆奶","upload/photo/2015-12-07/271918d37d2924dbd1fd3ebe6c4a952c.jpeg"
"e02d9424","2015-12-07","午餐","904.5","蒜苔 腐竹","upload/photo/2015-12-07/e5fccdf40f62ff69a5e37f42c54f3427.jpeg"
"e02d9424","2015-12-07","晚餐","901","鸡排 黄瓜鸡蛋","upload/photo/2015-12-07/ff33673487bfba0f164f0c103620bcdc.jpeg"
