"编号","日期","类型","热量/kcal","餐品描述","照片"
"e057024e","2015-12-01","早餐","301","柠檬，牛奶，饼干","upload/photo/2015-12-01/6920a9ac46b16bb6de172a976786eaa9.jpg"
"e057024e","2015-12-01","午餐","376","炒饭","upload/photo/2015-12-01/2b85bfd9503bf2351ce26b14f49432d3.jpg"
"e057024e","2015-12-01","晚餐","504","炒饭，汤，粥","upload/photo/2015-12-01/1f347e189a6b0504ae53cab01bc49479.jpg"
"e057024e","2015-12-02","早餐","1121","零食","upload/photo/2015-12-02/2b7b88345699539ba6a391ca7a67d3c9.jpg"
"e057024e","2015-12-02","午餐","376","炒饭","upload/photo/2015-12-02/54e3b0d94fb1c13c83c757eb174b5ad3.jpg"
"e057024e","2015-12-02","晚餐","597","西红柿炒蛋，鸡翅，蒜苔","upload/photo/2015-12-02/fae1bd3ead9e1f3e1406579e783489cb.jpg"
"e057024e","2015-12-03","早餐","375","零食 牛奶","upload/photo/2015-12-03/c162c165795387889aafae2e0098af4f.jpg"
"e057024e","2015-12-03","午餐","665","黄瓜，鸡翅，豆腐","upload/photo/2015-12-03/30c0b9cc2e192d56255da8117a366e3f.jpg"
"e057024e","2015-12-03","晚餐","476","炒饭，汤","upload/photo/2015-12-03/87536be30744cf836ab39500bf7fb219.jpg"
"e057024e","2015-12-04","午餐","389","烤肉+饭","upload/photo/2015-12-04/44b7d754e06c75bcb1426e924783b3a2.jpg"
"e057024e","2015-12-04","晚餐","230","牛肉面","upload/photo/2015-12-04/282a6b6482e33d24c850da89cd4b1648.jpg"
"e057024e","2015-12-05","早餐","0","无","upload/photo/2015-12-05/07285bd80cbea869ecd86da14f39f84f.jpg"
"e057024e","2015-12-05","午餐","500","文化节各种吃，然而忘拍照片","upload/photo/2015-12-05/3dca0399dcbf650ee7fd945db571aecd.jpg"
"e057024e","2015-12-05","晚餐","402","炒饭","upload/photo/2015-12-05/eff0697541ab2070702fbdc135586e2a.jpg"
"e057024e","2015-12-06","早餐","0","周末不吃早饭","upload/photo/2015-12-06/f4153a7d3b43184b54d9afe4f0127211.jpg"
"e057024e","2015-12-06","午餐","652","西红柿炒蛋，黄瓜，鸡翅","upload/photo/2015-12-06/5a31368d03c4a46e3f79619d619cefb3.jpg"
"e057024e","2015-12-06","晚餐","376","炒饭","upload/photo/2015-12-06/1a0e330b146be47fede365e7c91c0cc4.jpg"
