"编号","日期","类型","热量/kcal","餐品描述","照片"
"e0d52a75","2015-12-01","早餐","0","菜包子，豆浆","upload/photo/2015-12-01/20d573ff0816ecfd2e7278a0571d70e7.jpg"
"e0d52a75","2015-12-01","午餐","540","意大利肉酱面（照片忘拍了）","upload/photo/2015-12-01/6987ada64dca59ffbef8ed962f6fce53.jpg"
"e0d52a75","2015-12-01","晚餐","595","荷香叶饭（照片忘拍了）","upload/photo/2015-12-01/f4a54c7fd916eeacab4726529280edb7.jpg"
"e0d52a75","2015-12-02","早餐","255","烧麦和豆浆","upload/photo/2015-12-02/58361360d50271fcf440559565f6df47.jpg"
"e0d52a75","2015-12-02","午餐","610","烧鸭饭（忘记拍照了）","upload/photo/2015-12-02/b7b6cd424d7d2265983cfb770c7be888.jpg"
"e0d52a75","2015-12-02","晚餐","472","番茄鸡蛋虾米拉面","upload/photo/2015-12-02/5f0bf53c146d774c1928811539c2c012.jpg"
"e0d52a75","2015-12-03","早餐","438","油条加红枣豆浆","upload/photo/2015-12-03/dd6c2b08c62131a84044e87e40fa97b4.jpg"
"e0d52a75","2015-12-03","午餐","111.03","芝士菠萝焗饭（忘拍照）","upload/photo/2015-12-03/ebb14cc671c629bb053bb721f83574f1.jpg"
"e0d52a75","2015-12-03","晚餐","232","海鲜双手卷（蟹肉棒和鲔鱼）（忘拍照）","upload/photo/2015-12-03/777949b45da382572b9d5d77a7d18859.jpg"
"e0d52a75","2015-12-04","早餐","199.6","巧克力瑞士卷","upload/photo/2015-12-04/38f8e53baf2774ac707f976ef8b5a6d8.jpg"
"e0d52a75","2015-12-04","午餐","620","黄焖鸡米饭","upload/photo/2015-12-04/28c70aa0168cfbf5dd785d472db9076a.jpg"
"e0d52a75","2015-12-04","晚餐","431","绿叶菜，芋艿烧肉","upload/photo/2015-12-04/16b922fb2627dcb00f2d914b033852f6.jpg"
"e0d52a75","2015-12-05","早餐","187","唱片面包（忘拍）","upload/photo/2015-12-05/31dc75db8642ae5d31d4542ecbefce47.jpg"
"e0d52a75","2015-12-05","午餐","688","火锅（忘拍）","upload/photo/2015-12-05/f24c4bb9f75ba0987bc8c5e46e2e11f7.jpg"
"e0d52a75","2015-12-05","晚餐","0","午饭吃的太饱，没吃","upload/photo/2015-12-05/085a1f78e17d31f0f3d6fe0d4c6a2c6e.jpg"
"e0d52a75","2015-12-06","早餐","472","番茄清汤面（未拍）","upload/photo/2015-12-06/5bd859ef9128c5510ef4b4a9a5c20f9f.jpg"
"e0d52a75","2015-12-06","午餐","431","绿叶菜，芋艿烧肉","upload/photo/2015-12-06/85d71e14b6301d8d10852744ed085347.jpg"
"e0d52a75","2015-12-06","晚餐","500","馄饨（未拍照）","upload/photo/2015-12-06/b7465b569fc8e01d65f2d1b5905974dc.jpg"
"e0d52a75","2015-12-07","早餐","115","粥（未拍）","upload/photo/2015-12-07/41cdd6ad53ee36cb86f96c614ce396a8.jpg"
"e0d52a75","2015-12-07","午餐","115","粥（未拍）","upload/photo/2015-12-07/bcd025c2f72eab7295b2ee7c4ce5c83a.jpg"
"e0d52a75","2015-12-07","晚餐","115","粥（由于身体不适，这一天三餐都是粥）（未拍）","upload/photo/2015-12-07/2332ebe9667c0554d7edae67ab731629.jpg"
