"编号","日期","类型","热量/kcal","餐品描述","照片"
"e2512753","2015-12-01","早餐","289","蛋饼 绿豆汤 （忘拍照啦网上找的图）","upload/photo/2015-12-01/293cf74f770d8ce28ceb9473c63fde7a.jpg"
"e2512753","2015-12-01","午餐","482","炒花菜 鸡米花 一两饭 牛奶 (忘拍照啦网上找的图)","upload/photo/2015-12-01/6e2aee2f8fd2d4bc99916451802797a1.jpg"
"e2512753","2015-12-01","晚餐","186","关东煮 pocky","upload/photo/2015-12-01/c18b711ecaa59ced3facfb3338fcc045.jpg"
"e2512753","2015-12-02","早餐","289","蛋饼绿豆汤","upload/photo/2015-12-02/e993e88e810b6009f0b7f09808ec2e99.jpg"
"e2512753","2015-12-02","午餐","532","麻辣烫","upload/photo/2015-12-02/e6a1ad889c33a502687bbd699ebc1fb5.jpg"
"e2512753","2015-12-02","晚餐","264","泡菜寿司","upload/photo/2015-12-02/8adf38f89507ed90498bef0c4575d7f9.jpg"
"e2512753","2015-12-02","下午茶","300","pocky","upload/photo/2015-12-02/c22066bffc3cc90c9558d742929a3d76.jpg"
"e2512753","2015-12-03","早餐","289","蛋饼 绿豆汤","upload/photo/2015-12-03/4a08c450a3081a5e60ae819671bb5105.jpg"
"e2512753","2015-12-03","午餐","258","土豆丝 卷心菜 年糕炒鸡肉 米饭","upload/photo/2015-12-03/0c77eb2422e27de0b6b7c70bb1d2648e.jpg"
"e2512753","2015-12-03","晚餐","176","茶叶蛋 牛奶","upload/photo/2015-12-03/722040b958808a08fdeb7486694e9b22.jpg"
"e2512753","2015-12-03","夜宵","400","菜园小饼","upload/photo/2015-12-03/3b4a442a4ae21ce1c0cb40d26d2da36f.jpg"
"e2512753","2015-12-03","夜宵","48","奶茶","upload/photo/2015-12-03/a3a3f8bb32ef2adea049fd09e61a96a7.jpg"
"e2512753","2015-12-04","早餐","400","菜园小饼","upload/photo/2015-12-04/e7376eff1cc870085c06774cbe7351d4.jpg"
"e2512753","2015-12-04","午餐","382","方便面","upload/photo/2015-12-04/3218072df0e82eac340cf74f138a447e.jpg"
"e2512753","2015-12-04","晚餐","342","火锅","upload/photo/2015-12-04/78ae906280e115d504fb6a2ab9a91e24.jpg"
"e2512753","2015-12-04","夜宵","809.5","椰奶*1 士力架*1 （网上找的图~）","upload/photo/2015-12-04/fe6efca4554a75210dcc8eab0b2917ba.jpg"
"e2512753","2015-12-05","早餐","289","苏打饼干+曲奇","upload/photo/2015-12-05/98a29162d6e97f9b0b43fe0b156254a9.jpg"
"e2512753","2015-12-05","午餐","432","火锅","upload/photo/2015-12-05/4308c7663deffe66fb7e12e0901d0cd0.jpg"
"e2512753","2015-12-05","晚餐","436","肉片炒青豆，土豆丝，咸鸡，米饭","upload/photo/2015-12-05/b019c0833da0c67ece8d8bba9ae83bfb.jpg"
"e2512753","2015-12-05","下午茶","859","全麦吐司*2，巧克力蛋糕","upload/photo/2015-12-05/82b0c7f2fb1c5097287d50d79a30cdcc.jpg"
"e2512753","2015-12-06","早餐","382","土豆丝 炒青豆 鸡肉 米饭","upload/photo/2015-12-06/8506a3c78488b882ba232c2fd075e7e4.jpg"
"e2512753","2015-12-06","午餐","589","鸡排 奶茶","upload/photo/2015-12-06/23c1bd875f55ebf773f9e62ebbb21837.jpg"
"e2512753","2015-12-06","晚餐","0","中午吃太多晚饭就没吃啦 传的还是午饭图","upload/photo/2015-12-06/09cba608e7dd27f8390c0a50432b8bb2.jpg"
"e2512753","2015-12-07","早餐","274","蛋饼绿豆汤 忘拍照啦传一下以前拍的","upload/photo/2015-12-07/f3f991dad14dbb3cad5f7e8d509b6624.jpg"
"e2512753","2015-12-07","午餐","400","酸菜鱼片 米饭","upload/photo/2015-12-07/023cd6c7ade93e653eb52f6ad3c62706.jpg"
"e2512753","2015-12-07","晚餐","1182","粽子 饼干 菜饼","upload/photo/2015-12-07/42804c9b333e66c306002ec3e06098b4.jpg"
