"编号","日期","类型","热量/kcal","餐品描述","照片"
"e2b8265b","2015-12-01","早餐","670","辣条饼","upload/photo/2015-12-01/fa3703fd21fb13c652221491da4fcb79.jpg"
"e2b8265b","2015-12-01","午餐","480","面条","upload/photo/2015-12-01/e5f9adadc3a81f0f2fb356fcde0e0988.jpg"
"e2b8265b","2015-12-01","晚餐","0","没吃","upload/photo/2015-12-01/215489437084b5e8663855da1a12f762.jpeg"
"e2b8265b","2015-12-01","夜宵","800","打糕","upload/photo/2015-12-01/66f4d5c6d63495078c945089de2b23fd.jpg"
"e2b8265b","2015-12-02","早餐","720","煎饼加牛奶","upload/photo/2015-12-02/b8bef80f5014463b64b74f08a55b3ccc.jpg"
"e2b8265b","2015-12-02","午餐","500","芝士年糕","upload/photo/2015-12-02/440677ec3c259a4dfe2aa4c77bb4b6f2.jpg"
"e2b8265b","2015-12-02","晚餐","83","一个苹果（忘拍了）","upload/photo/2015-12-02/d100f61c344364138be87c67bcfc124f.jpg"
"e2b8265b","2015-12-03","早餐","350","肉包，豆奶","upload/photo/2015-12-03/972248a4fbb73cc5023f0d08645b6ddf.jpg"
"e2b8265b","2015-12-03","午餐","1000","烤面包，巧克力圣代，鸭脖，苹果，饼干（这些忘记拍了）","upload/photo/2015-12-03/4710c041cc84a0ca6f0ec2d83fc264a6.jpg"
"e2b8265b","2015-12-03","晚餐","450","二餐","upload/photo/2015-12-03/d2118f276bc2a2c433d7b0e8dad8f51d.jpg"
"e2b8265b","2015-12-04","早餐","500","小黑屋粽子和ad钙奶","upload/photo/2015-12-04/1ef18b81580d0d5e3a38f2e3743ea92c.jpg"
"e2b8265b","2015-12-04","午餐","995","一餐的米和馒头和青菜大肉丸和哈密瓜咕咾肉","upload/photo/2015-12-04/3f4b225456ea275430b1bc2bcc3c7aea.jpg"
"e2b8265b","2015-12-04","晚餐","1240","芝士培根奶油焗饭加奶油玉米浓汤盖酥皮加培根卷小香肠蘸番茄酱","upload/photo/2015-12-04/23323b9a68c47213c6403e405933cd26.jpg"
"e2b8265b","2015-12-04","夜宵","544","苹果加趣多多","upload/photo/2015-12-04/a41a8f06d2ec28a6b338134dc26dbfac.jpg"
"e2b8265b","2015-12-05","早餐","525","玉米饼加奶茶","upload/photo/2015-12-05/6acad33e5b759209deee6a790f4fb069.jpg"
"e2b8265b","2015-12-05","午餐","300","烤面包夹冰激凌","upload/photo/2015-12-05/eb8e958797db8e43ff2da05ac8b53ca7.jpg"
"e2b8265b","2015-12-05","晚餐","650","鸡排加椰奶","upload/photo/2015-12-05/8aa3cea87d0e44431ebda8fbe7e76f17.jpg"
"e2b8265b","2015-12-06","早餐","0","没吃","upload/photo/2015-12-06/c64110e750ecafb80b77f9a723dfcb0d.jpg"
"e2b8265b","2015-12-06","午餐","450","台式三杯鸡","upload/photo/2015-12-06/c9e781574a28c4a7141379bcb62ec210.jpg"
"e2b8265b","2015-12-06","下午茶","300","抹茶拿铁","upload/photo/2015-12-06/bf69a57af364b1a40c7854ad52b3ceec.jpg"
"e2b8265b","2015-12-07","早餐","508","蒸三明治和牛奶","upload/photo/2015-12-07/06fdb89f52726473a63f6608118c885c.jpg"
"e2b8265b","2015-12-07","晚餐","650","酸菜培根米线","upload/photo/2015-12-07/ecafe93fd0c5ed639616e072aa8c08a3.jpg"
