"编号","日期","类型","热量/kcal","餐品描述","照片"
"e538ecca","2015-12-01","早餐","213","饼干+豆奶","upload/photo/2015-12-01/b3f0af45ad648d468e239b007e967aca.jpg"
"e538ecca","2015-12-01","午餐","502","米饭+鱿鱼+蔬菜","upload/photo/2015-12-01/e59fbee8d4fd0b93e6dd598d6cb4b52b.jpg"
"e538ecca","2015-12-01","晚餐","568","咖喱土豆跑蛋饭","upload/photo/2015-12-01/6e9c0409584583c166713d1e772b0712.jpg"
"e538ecca","2015-12-01","晚餐","426","","upload/photo/2015-12-01/acd313e2f0f735613b102f40623657c0.jpg"
"e538ecca","2015-12-02","早餐","213","维他奶+饼干","upload/photo/2015-12-02/6713100dcd2d827e4661e571687cc6fa.jpg"
"e538ecca","2015-12-02","午餐","655","鱿鱼+蔬菜+素鸡","upload/photo/2015-12-02/36c6e17fa1fc10dfeba8a8798c2531fb.jpg"
"e538ecca","2015-12-02","午餐","0","鱿鱼+蔬菜+素鸡","upload/photo/2015-12-02/88b721cc8295b6699d30f71bc4bd66d4.jpg"
"e538ecca","2015-12-02","晚餐","558","叉烧饭+豆腐干+南瓜","upload/photo/2015-12-02/3588b124830772dc05a3edf980a8ed1d.jpg"
"e538ecca","2015-12-03","早餐","0","没吃早饭","upload/photo/2015-12-03/063d5efde6b52b2e318a8eeb9fd3829c.jpg"
"e538ecca","2015-12-03","午餐","90","小笼+红豆紫米粥","upload/photo/2015-12-03/595b939c596e625cef595ea69df06498.jpg"
"e538ecca","2015-12-03","晚餐","986","肯德基土豆泥+2对鸡翅+鸡米花+蔬菜沙拉","upload/photo/2015-12-03/e0aa03e6407af9b99125eeccb4b538e3.jpg"
"e538ecca","2015-12-04","早餐","100","豆奶+饼干","upload/photo/2015-12-04/97b1385ce087f35bbbb07cea8490b640.jpg"
"e538ecca","2015-12-04","午餐","450","芝士肥牛饭","upload/photo/2015-12-04/8244be32c148220dead66104d5f62af5.jpg"
"e538ecca","2015-12-04","晚餐","1000","火锅，牛肉+羊肉+水果","upload/photo/2015-12-04/e5eb85ae607990e3977fdeb7a60dbad4.jpg"
"e538ecca","2015-12-05","早餐","0","没吃早饭","upload/photo/2015-12-05/472965b90fab884ca15e3af62203a8a5.jpg"
"e538ecca","2015-12-05","午餐","420","大馄饨+青菜","upload/photo/2015-12-05/dbfb061adaaa40b82b1b0f3aa9ad3ee4.jpg"
"e538ecca","2015-12-05","晚餐","1200","栗子烧鸡+红烧肉烧蛋+蔬菜+饭","upload/photo/2015-12-05/921984c5caf143250ab573b6efa04899.jpg"
"e538ecca","2015-12-06","早餐","0","没吃早饭","upload/photo/2015-12-06/9059b5edf25cb14b9b9e72eef5689f62.jpg"
"e538ecca","2015-12-06","午餐","618","松饼+冰激凌球+焦糖奶油+芒果奶昔","upload/photo/2015-12-06/4922f38dc72e3752e9fadc9d38549275.jpg"
"e538ecca","2015-12-06","晚餐","556","栗子烧肉+红烧肉烧蛋+蔬菜+饭","upload/photo/2015-12-06/dd68ce3368fef6745b98f7f35dea21fb.jpg"
"e538ecca","2015-12-07","早餐","105","豆奶+饼干","upload/photo/2015-12-07/b5b63379aff82f1b98d7a8c461d1c99c.jpg"
"e538ecca","2015-12-07","午餐","236","小笼+绿豆汤","upload/photo/2015-12-07/483b64b75f877da8a1b98577d948a4d1.jpg"
"e538ecca","2015-12-07","晚餐","448","叉烧+豆腐干+蔬菜+饭","upload/photo/2015-12-07/c2fdda60a290308c73d1cf5aac195c93.jpg"
