"编号","日期","类型","热量/kcal","餐品描述","照片"
"e71f2c7a","2015-12-01","早餐","223.5","谷物饼干50g","upload/photo/2015-12-01/794ceec6de21a0063b28d6acc8f241bf.jpg"
"e71f2c7a","2015-12-01","午餐","354","三餐的金针肥牛铁板烧（由于忘记拍照就找了一张类似的照片）","upload/photo/2015-12-01/c9a611ea7dedab314237f4fbeeaf53c8.jpg"
"e71f2c7a","2015-12-01","晚餐","911","外卖：鸡蛋仔一份（一个小锅子的大小）+奶茶约500ml","upload/photo/2015-12-01/e4a43a5039c32cd04f05240ad57b1373.jpg"
"e71f2c7a","2015-12-02","早餐","293","华联包子铺买的一个肉包+一袋豆浆","upload/photo/2015-12-02/81939b2419578303ce372401fc47003f.jpg"
"e71f2c7a","2015-12-02","午餐","562","外卖：日式烧牛肉饭，主要有牛肉、洋葱、黄瓜和饭","upload/photo/2015-12-02/ae178ae046badb5bdc65ab43da0f1be0.jpg"
"e71f2c7a","2015-12-02","晚餐","280","外卖：水果色拉--红心柚+草莓+香蕉+酸奶+蜂蜜","upload/photo/2015-12-02/d7701a41a7b0ee43a9b761cd324e618a.jpg"
"e71f2c7a","2015-12-02","夜宵","487","外卖：血糯米奶茶","upload/photo/2015-12-02/a04f010a40a80a67c014de9e440e0047.jpg"
"e71f2c7a","2015-12-02","夜宵","366","自制鸡汤，含鲜贝和菇类。共食用一碗左右","upload/photo/2015-12-02/7bc73832e1e9463aab35f403e06ce18b.jpg"
"e71f2c7a","2015-12-03","早餐","506","华联包子铺：一个肉包+一个粉丝包+一袋豆浆","upload/photo/2015-12-03/328a00318c8c3771ea20fe5c6269fed7.jpg"
"e71f2c7a","2015-12-03","午餐","724","外卖：叉烧饭（叉烧+土豆丝+青菜+半个蛋）+一碗紫菜蛋花汤","upload/photo/2015-12-03/0b1b5141423f4f72a14422bb30d144d6.jpg"
"e71f2c7a","2015-12-03","晚餐","736","外卖：叉烧+烧鹅双拼饭（含土豆丝、青菜、半个蛋）","upload/photo/2015-12-03/2820d73a44731b508cc88c35f8467352.jpg"
"e71f2c7a","2015-12-03","下午茶","207","一盒鲜切菠萝+一盒燕麦饮料","upload/photo/2015-12-03/db5db6ae0fca390660a03daf41f47c92.jpg"
"e71f2c7a","2015-12-04","早餐","520","三餐：一袋豆浆+两个肉包","upload/photo/2015-12-04/c99e5f31056f380991542bee2fa2a2af.jpg"
"e71f2c7a","2015-12-04","午餐","729","三餐：金针菇肥牛铁板饭+土豆丝","upload/photo/2015-12-04/ebbd27af6f62aa3d412808d234c4260d.jpg"
"e71f2c7a","2015-12-04","晚餐","960","蛋糕三块","upload/photo/2015-12-04/637a7452e5118322821dbe822529fc4c.jpg"
"e71f2c7a","2015-12-05","早餐","114","红枣赤豆汤一小碗","upload/photo/2015-12-05/365f331f06016a045add2a49fedb5354.jpg"
"e71f2c7a","2015-12-05","午餐","717","番茄牛肉捞面+溏心蛋","upload/photo/2015-12-05/fb6a0b8cd3f13d9c313b7acf476a44d9.jpg"
"e71f2c7a","2015-12-05","其他","738","在早餐和午餐之间的点心：紫糯米奶茶+两颗花枝丸","upload/photo/2015-12-05/6df19c2368bbc31582aabc2c6e0c88ab.jpg"
"e71f2c7a","2015-12-06","早餐","182.5","白粥一碗+少许鱼松","upload/photo/2015-12-06/c0f3d9ef6e8ce5a405ece154e15488e2.jpg"
"e71f2c7a","2015-12-06","午餐","837","菠萝包一个+一杯丝袜奶茶 大约500ml","upload/photo/2015-12-06/d8cc259ce3ed19b45e06fb233ac7f47a.jpg"
"e71f2c7a","2015-12-06","晚餐","223.5","谷物饼干50g（五块）","upload/photo/2015-12-06/0af881de8073aa7168c389352643be59.jpg"
"e71f2c7a","2015-12-07","早餐","254","三餐：豆浆一袋+土豆丝饼一个","upload/photo/2015-12-07/b3a9be4b806aa0593b76119cd11c2a80.jpg"
"e71f2c7a","2015-12-07","午餐","276.08","好丽友派两个","upload/photo/2015-12-07/4819c42e3a9acaa108720e505deb58b5.jpg"
"e71f2c7a","2015-12-07","晚餐","427","华联包子铺：一个肉包+一个菜包","upload/photo/2015-12-07/1e277f4ddf360ad619958ce98b20d742.jpg"
