"编号","日期","类型","热量/kcal","餐品描述","照片"
"e8f857f6","2015-12-01","午餐","506","石锅拌饭","upload/photo/2015-12-01/2454df4138aadb4513216981c0133bbf.jpg"
"e8f857f6","2015-12-01","晚餐","395","如图 0_0","upload/photo/2015-12-01/b4baeb7cfde43ac0ed7fb6f04aaeadfb.jpg"
"e8f857f6","2015-12-02","午餐","460","韩式鸡排饭","upload/photo/2015-12-02/f07982a1e79b12e4e9c48eaa02b9c64b.jpg"
"e8f857f6","2015-12-02","晚餐","640","孜然牛肉饭","upload/photo/2015-12-02/bced680c5dd7d246ab1d494c2dd0d1b1.jpg"
"e8f857f6","2015-12-03","晚餐","829","台湾鸡排饭","upload/photo/2015-12-03/d9b4cf1d9ae7f308109876764e2fea2e.jpg"
"e8f857f6","2015-12-04","午餐","672","番茄炒蛋，鸡米花","upload/photo/2015-12-04/e9c79087e3e21a6545f12b2b84d8c22f.jpg"
"e8f857f6","2015-12-05","午餐","532","糖醋排条饭","upload/photo/2015-12-05/2499d8a080beb7b8a0df0b937e909679.jpg"
"e8f857f6","2015-12-06","夜宵","166","味全酸奶","upload/photo/2015-12-06/c3b02b596d04b9a73ef1a1ee23c7ddd8.jpg"
"e8f857f6","2015-12-07","午餐","495","豆腐 姑老肉","upload/photo/2015-12-07/f674341793fbe7c7461be381bfb5ef87.jpg"
"e8f857f6","2015-12-07","晚餐","449","鸡块，卷心菜","upload/photo/2015-12-07/b37bf9d56d683b07727e1410fc4ef884.jpg"
