"编号","日期","类型","热量/kcal","餐品描述","照片"
"ebdfc581","2015-12-01","早餐","309","羊肉夹心蛋卷，八宝粥","upload/photo/2015-12-01/b0de682aaef4740e48e2701d872280b2.jpg"
"ebdfc581","2015-12-01","午餐","324","白菜，猪肉，大米","upload/photo/2015-12-01/b66297a54cec491b6f32bc03eafb867d.jpg"
"ebdfc581","2015-12-01","晚餐","434","鱼香肉丝，大米，白菜","upload/photo/2015-12-01/2c2045da912cb0df5639862cb7b9aab3.jpg"
"ebdfc581","2015-12-02","早餐","245","牛奶，烤馍，好吃点杏仁饼干","upload/photo/2015-12-02/e3edfe72f7d04b5b85328e434ef61ac2.jpg"
"ebdfc581","2015-12-02","午餐","324","白菜，猪肉，木耳，米饭","upload/photo/2015-12-02/613045c14ef78ed35b2395924ba87135.jpg"
"ebdfc581","2015-12-02","晚餐","242","油菜，咖喱，土豆，米饭","upload/photo/2015-12-02/1488e1ccc89c36368c20dc8b27a9d3ce.jpg"
"ebdfc581","2015-12-03","早餐","361","牛奶，两个肉包子","upload/photo/2015-12-03/ead40818dfc86ad01ca8e86e903f9197.jpg"
"ebdfc581","2015-12-03","午餐","348","千叶豆腐，鸡丁，米饭","upload/photo/2015-12-03/065dae5efc552eb6f4f5e4dc165b75d9.jpg"
"ebdfc581","2015-12-03","晚餐","204","西红柿，鸡蛋，米饭","upload/photo/2015-12-03/d91be839848968fdb3a2d943ba595e86.jpg"
"ebdfc581","2015-12-04","早餐","308","苹果，饼干，牛奶","upload/photo/2015-12-04/677e9750d3b316ae6cbf419b301ab89d.jpg"
"ebdfc581","2015-12-04","午餐","434","鸡蛋，土豆，鱼香肉丝，米饭","upload/photo/2015-12-04/a3dcc0b2bf0b9041e18e5a7d0d597364.jpg"
"ebdfc581","2015-12-04","晚餐","362","豆腐，鸡丁，芹菜，米饭","upload/photo/2015-12-04/0f4a8306fa48d97866038989b21e2468.jpg"
"ebdfc581","2015-12-05","早餐","553","莲子粥，猪肉馅包子，青椒鸡蛋饼","upload/photo/2015-12-05/6e12420ac9f9b017f85fdb1f51287a83.jpg"
"ebdfc581","2015-12-05","晚餐","401","千叶豆腐，鸡柳，米饭，土豆丝","upload/photo/2015-12-05/de36226045b8ba301ea802ba362571f1.jpg"
"ebdfc581","2015-12-05","晚餐","313","土豆丝，鸡翅，米饭","upload/photo/2015-12-05/f94a29b610f739fba196e72d50eae7b2.jpg"
"ebdfc581","2015-12-06","早餐","528","黑芝麻糊饼，酱香饼，牛奶","upload/photo/2015-12-06/723e86cdfbace29eb4f567ec2b4bd069.jpg"
"ebdfc581","2015-12-06","午餐","345","豆腐，芹菜，米饭","upload/photo/2015-12-06/9e21d813340b422f2b0ff5155ac6888d.jpg"
"ebdfc581","2015-12-06","晚餐","383","鸡蛋，木耳，鸡翅，米饭","upload/photo/2015-12-06/11997bc5d4e686624b9a47e0f04b460c.jpg"
"ebdfc581","2015-12-07","早餐","290","两个包子，豆浆","upload/photo/2015-12-07/059f879fd9bc947e591d6d43d5422813.jpg"
"ebdfc581","2015-12-07","午餐","282","青菜，红烧肉，米饭","upload/photo/2015-12-07/aa5825dad498e24bc14967bcb8288a20.jpg"
"ebdfc581","2015-12-07","晚餐","282","牛肉面","upload/photo/2015-12-07/8eab8fff1fc4d8dcf9a51b999f28181b.jpg"
