"编号","日期","类型","热量/kcal","餐品描述","照片"
"ed6b9fa7","2015-12-01","早餐","512","泡面","upload/photo/2015-12-01/44d84434802c6af6cee494e21ae37860.jpg"
"ed6b9fa7","2015-12-01","午餐","547","","upload/photo/2015-12-01/a8f71a518bd4e550a77fa3ca2d78e2ec.png"
"ed6b9fa7","2015-12-01","晚餐","499","","upload/photo/2015-12-01/ecddbfb36a3a4e1fd71f88754e07ca4c.jpg"
"ed6b9fa7","2015-12-01","夜宵","166","水果：苹果","upload/photo/2015-12-01/21b4a8243533ec7afc991e70eb1b0806.png"
"ed6b9fa7","2015-12-02","早餐","495","教学楼中销售的粽子","upload/photo/2015-12-02/0d68dc58f20f2237dbaa32df35d27900.jpg"
"ed6b9fa7","2015-12-02","午餐","311","基本全是素食，最后剩余半盘菜","upload/photo/2015-12-02/408a59b96e4e86482dc0c7b928e68637.jpg"
"ed6b9fa7","2015-12-02","晚餐","457","辣子鸡套餐，里面有土豆丝，芹菜和豆腐。上面是辣子鸡，微辣。无剩余","upload/photo/2015-12-02/9838f72ad3acb849b4713443f9e82cc0.jpg"
"ed6b9fa7","2015-12-02","夜宵","83","水果，23点半食用","upload/photo/2015-12-02/c6999a296aef9a007a6afcd4b85e3a40.png"
"ed6b9fa7","2015-12-03","早餐","948","东上院的鸡肉汉堡和煮鸡蛋。","upload/photo/2015-12-03/34aa540cd2af1a136d37cde65fb5dc9e.jpg"
"ed6b9fa7","2015-12-03","午餐","893","应该是荞面，加了一个煎鸡蛋。","upload/photo/2015-12-03/3677753db15b9f5fc58eb3d8f475b852.jpg"
"ed6b9fa7","2015-12-03","晚餐","763","西点餐厅的牛肉面。","upload/photo/2015-12-03/5d5c4cd1b1fef8acf986d3c51cb3ef63.jpg"
"ed6b9fa7","2015-12-04","早餐","864","鸡蛋饼，里面有肉馅。","upload/photo/2015-12-04/c1ef30b05d2d627cbcbeaa85b00729c0.jpg"
"ed6b9fa7","2015-12-04","午餐","969","面食，加了鸡蛋。","upload/photo/2015-12-04/f857583b932bfe8bff9437054f951a3d.jpg"
"ed6b9fa7","2015-12-04","晚餐","708","二餐西点餐厅的虾意面，以及一份蛋汤。","upload/photo/2015-12-04/23408371632649a752854f2bcbc175ea.jpg"
"ed6b9fa7","2015-12-05","早餐","0","未吃早餐。。。","upload/photo/2015-12-05/104bdb8a0911c52aaa9afa7400a86172.jpg"
"ed6b9fa7","2015-12-05","午餐","701","肉丸子和鸡肉块，略油腻！","upload/photo/2015-12-05/ad9c08959e77ade775220d199cb3522f.jpg"
"ed6b9fa7","2015-12-05","晚餐","587","在学校外餐馆吃的，主菜一个，铁板茄子，主食是米饭，未拍米饭。","upload/photo/2015-12-05/458895594382842bdf5e4014b2b9754a.jpg"
"ed6b9fa7","2015-12-06","早餐","0","早晨未吃饭。。。照片无关","upload/photo/2015-12-06/85979af56f5deca5e8b3824f17e9b586.jpg"
"ed6b9fa7","2015-12-06","晚餐","1030","在学校外边吃的，主要有蘑菇肉丝，豆角土豆，还有15个左右的饺子。无法上传多个照片。。。","upload/photo/2015-12-06/de1f66659d7abe78732910fa21859f89.jpg"
"ed6b9fa7","2015-12-07","早餐","163.2","没有进食，只喝了一袋牛奶。240ml","upload/photo/2015-12-07/8c862e317ec3de3294fbb1d0cc51f8d6.jpg"
"ed6b9fa7","2015-12-07","午餐","489","豆腐，和豆腐干排骨","upload/photo/2015-12-07/29134a4cf52ccb7da23c5ec48764bbb5.png"
"ed6b9fa7","2015-12-07","晚餐","663","饺子，应该是一份。照片上是已经吃了几个的样子","upload/photo/2015-12-07/7f74414b983f935b0555c85006e5dd7c.jpg"
