"编号","日期","类型","热量/kcal","餐品描述","照片"
"eedc5f7e","2015-12-01","早餐","261","二餐肉饼","upload/photo/2015-12-01/71638d1ff2eafd0af8826fe26ca357da.jpg"
"eedc5f7e","2015-12-01","午餐","221","玉米馒头100g","upload/photo/2015-12-01/91b952706531bcfaf70ff2c9004d72c9.jpg"
"eedc5f7e","2015-12-01","晚餐","206.5","芝麻糊一碗和花卷一个","upload/photo/2015-12-01/897b8787e9848d1596196d7a0504b2f2.jpg"
"eedc5f7e","2015-12-02","早餐","221","包子","upload/photo/2015-12-02/c26693a1d3235757fe8974f1c3ac2b5a.jpg"
"eedc5f7e","2015-12-02","午餐","261","手卷","upload/photo/2015-12-02/c24c2bc2f7a67094cd45bff928fde872.jpg"
"eedc5f7e","2015-12-02","午餐","221","包子","upload/photo/2015-12-02/e179797389c61b37dc9667e11b218681.jpg"
"eedc5f7e","2015-12-02","晚餐","150","玉米病","upload/photo/2015-12-02/69315ef84b09ae0cc5a3665373757d13.jpg"
"eedc5f7e","2015-12-03","早餐","221","馒头","upload/photo/2015-12-03/9bab44119c328d2182855b019cd1beed.jpg"
"eedc5f7e","2015-12-03","午餐","261","手抓饼","upload/photo/2015-12-03/1cc6f3358adc22f54fce0229d14400c1.jpg"
"eedc5f7e","2015-12-03","晚餐","312.39","公婆饼","upload/photo/2015-12-03/1af37bb4616562cedccad60ad67c6b80.jpg"
"eedc5f7e","2015-12-04","早餐","312.39","公婆饼","upload/photo/2015-12-04/74b48515be28864dca4a660f29214177.jpg"
"eedc5f7e","2015-12-04","午餐","282.5","二餐","upload/photo/2015-12-04/de953c06499ed73144417d0a5caefceb.jpg"
"eedc5f7e","2015-12-04","晚餐","150","","upload/photo/2015-12-04/2c3b63a8f9f237f8fd2321ea3581e368.jpg"
"eedc5f7e","2015-12-05","早餐","118.5","","upload/photo/2015-12-05/7989a61386168f12f6c61bd115e40fed.jpg"
"eedc5f7e","2015-12-05","午餐","261","","upload/photo/2015-12-05/f810a317135d8da11d6f415d1388f4aa.jpg"
"eedc5f7e","2015-12-05","午餐","150","","upload/photo/2015-12-05/88949d2de840e1211118a59d574d2c29.jpg"
"eedc5f7e","2015-12-06","早餐","148.5","","upload/photo/2015-12-06/97f21d62bdd9eaf748b9aabd6c458ec5.jpg"
"eedc5f7e","2015-12-06","午餐","159","","upload/photo/2015-12-06/0bcbbf6dadab5a80d2f66764aef57be7.jpg"
"eedc5f7e","2015-12-07","早餐","150","","upload/photo/2015-12-07/94e1b9476d82fa448a1ec5de6a44e50d.jpg"
"eedc5f7e","2015-12-07","午餐","261","加上一堆零食","upload/photo/2015-12-07/acbf597dd2bc734da01d1f2b73de9e6c.jpg"
"eedc5f7e","2015-12-07","晚餐","80","零食","upload/photo/2015-12-07/1c3eec031ade1d8caa38c658303b90a8.jpg"
"eedc5f7e","2015-12-08","早餐","261","","upload/photo/2015-12-08/487303e8a225a974886056835092e736.jpg"
"eedc5f7e","2015-12-08","午餐","47","橘子和零食","upload/photo/2015-12-08/c0f681a5f6174267aada03928d1e5ac5.jpg"
"eedc5f7e","2015-12-08","晚餐","261","饼","upload/photo/2015-12-08/d9ca3ad3bdabc688b4bb066126272bd2.jpg"
