"编号","日期","类型","热量/kcal","餐品描述","照片"
"f0885546","2015-12-01","早餐","275","谷物制品","upload/photo/2015-12-01/f2eaa1477f761edf3ef13b0596e9a804.jpg"
"f0885546","2015-12-01","午餐","836","鱼香肉丝饭","upload/photo/2015-12-01/b73945026ef99a5094e5908e2ab792db.jpeg"
"f0885546","2015-12-01","晚餐","1280","燕麦饼干","upload/photo/2015-12-01/49f8b2730efd52a0ca4340f79365cded.jpg"
"f0885546","2015-12-02","早餐","410","谷物制品和牛奶","upload/photo/2015-12-02/d57059bd84d4e04e20e4bd9475241934.jpeg"
"f0885546","2015-12-02","午餐","915","辣子鸡西葫芦套餐","upload/photo/2015-12-02/492bce7729c1832155d098f7cfee4210.jpeg"
"f0885546","2015-12-02","晚餐","627","芋圆红豆汤","upload/photo/2015-12-02/e9de81f0f25ab3791818303f0d5a76b8.jpeg"
"f0885546","2015-12-03","早餐","410","谷物制品","upload/photo/2015-12-03/31a50f45c430eb03c82c71dad63d5704.jpg"
"f0885546","2015-12-03","午餐","950","板栗","upload/photo/2015-12-03/8036d9ca4543db92b0824aad569186cd.jpg"
"f0885546","2015-12-03","晚餐","1280","燕麦饼干","upload/photo/2015-12-03/9ca333cd2ad13de32e6951fd61484bde.jpeg"
"f0885546","2015-12-04","早餐","385","谷物制品","upload/photo/2015-12-04/89ad83f1a88a06feed5717470907433d.jpg"
"f0885546","2015-12-04","午餐","1004","香蕉和燕麦饼干","upload/photo/2015-12-04/f7a01a8757b2b976ecbd5d7561b8d573.jpg"
