"编号","日期","类型","热量/kcal","餐品描述","照片"
"f6f3c2e9","2015-12-01","早餐","215","小碗黑米粥，一个茶叶蛋，两个锅贴","upload/photo/2015-12-01/d8f31d0f2a0425e4c8381c3161800280.jpg"
"f6f3c2e9","2015-12-01","午餐","426","小碗米饭，一份白萝卜，一份西红柿排骨汤","upload/photo/2015-12-01/3b2d1fa0e4366955f7ff707417276400.jpg"
"f6f3c2e9","2015-12-01","晚餐","352","二两饭，炒藕片，糖醋里脊","upload/photo/2015-12-01/238f79b10ade8d1a9e30759211463f37.jpg"
"f6f3c2e9","2015-12-02","早餐","114","小碗南瓜粥，一个茶叶蛋。","upload/photo/2015-12-02/2a8bbb7b2b62dae17988da18257b8a11.jpg"
"f6f3c2e9","2015-12-02","午餐","434","一份青菜，一份香肠，一份菌菇","upload/photo/2015-12-02/7f2d573b8e898c917bcb9f66714311f4.jpg"
"f6f3c2e9","2015-12-02","晚餐","364","二两饭，咖喱鸡，南瓜。","upload/photo/2015-12-02/ded7925dcd2b16a3b42c42480dbcbdf2.jpg"
"f6f3c2e9","2015-12-02","课间餐","121","一个小蛋糕","upload/photo/2015-12-02/d67fc983169d325da34c55fa6ab20227.jpg"
"f6f3c2e9","2015-12-02","夜宵","144","一个白煮蛋","upload/photo/2015-12-02/43821020b7c50295fc9b516a1998c501.jpg"
"f6f3c2e9","2015-12-03","早餐","104","一个苹果","upload/photo/2015-12-03/c2ebf5f91bcf39d404fe35533f7b7491.jpg"
"f6f3c2e9","2015-12-03","午餐","664","二两饭；一块卤肉；一份青菜","upload/photo/2015-12-03/f5480faa161c860d8650386fbe9eca58.jpg"
"f6f3c2e9","2015-12-03","晚餐","228","二两饭；炒藕片；窝笋炒肉片","upload/photo/2015-12-03/fab1d95e738b3d957c629236217f7b43.jpg"
"f6f3c2e9","2015-12-03","下午茶","104","一个苹果","upload/photo/2015-12-03/b43c65f73d2d56e48b24faba6bfcfadc.jpg"
"f6f3c2e9","2015-12-03","夜宵","224","两个猕猴桃","upload/photo/2015-12-03/27cb0d810d99239765d744315b947b13.jpg"
"f6f3c2e9","2015-12-04","早餐","196","一杯牛奶，外加一个没有拍到的小块清蛋糕","upload/photo/2015-12-04/c297f6bdeb81c9f053635ca4522b3dfa.jpg"
"f6f3c2e9","2015-12-04","午餐","446","小碗饭，一份肉，一份薯条","upload/photo/2015-12-04/61c48031aa6b0bfb0417d1e981f5da58.jpg"
"f6f3c2e9","2015-12-04","晚餐","539","一份老鸭砂锅","upload/photo/2015-12-04/d98187b16e5f623bdc1e8ee71f1701ea.jpg"
"f6f3c2e9","2015-12-04","夜宵","225","吃了三个这样的猪肉脯","upload/photo/2015-12-04/dc73f1e552490acedee87020d7fedc85.jpg"
"f6f3c2e9","2015-12-05","早餐","0","无","upload/photo/2015-12-05/67294bd12933d5aaaed10e63005ba950.jpg"
"f6f3c2e9","2015-12-05","午餐","246","虾仁跑蛋饭","upload/photo/2015-12-05/9f814e75561ca7904e364b04f849353e.jpg"
"f6f3c2e9","2015-12-05","晚餐","417","鸡翅套餐（一份饭，一个鸡翅，一份花菜，一份西红柿炒蛋）","upload/photo/2015-12-05/65780581f9add907b883e0dc50d28bb4.jpg"
"f6f3c2e9","2015-12-06","午餐","293","二两饭，一份带鱼，一份青菜","upload/photo/2015-12-06/1eb348b7cb9ad74a9d8c52d346b54487.jpg"
"f6f3c2e9","2015-12-06","晚餐","252","13个饺子","upload/photo/2015-12-06/073fb377458880e48329a66e07794580.jpg"
"f6f3c2e9","2015-12-06","夜宵","182","一个猕猴桃，三个夏威夷果","upload/photo/2015-12-06/84c33f611ab0b4fb18035ef2c59c54b6.jpg"
"f6f3c2e9","2015-12-07","早餐","240","大碗的绿豆粥，一个烧卖","upload/photo/2015-12-07/714657a645739f78a360892260a203c7.jpg"
"f6f3c2e9","2015-12-07","午餐","525","二两饭，一份白菜炒香肠，一份肉末蒸蛋","upload/photo/2015-12-07/491410211cf70140c9bc3b352b0ed1f1.jpg"
"f6f3c2e9","2015-12-07","晚餐","366","二两饭，一份青菜，一份炸鸡块","upload/photo/2015-12-07/3252218dff74efc7adeeb74c9f4c9d5f.jpg"
