"编号","日期","类型","热量/kcal","餐品描述","照片"
"f80a9e56","2015-12-01","早餐","280","一包饼干，一盒脱脂牛奶","upload/photo/2015-12-01/007a1e9b2487749fc81dd929dff99a5f.jpg"
"f80a9e56","2015-12-01","午餐","1180","三两米，鹌鹑蛋烧肉，薯条炸鸡柳，西葫芦炒黄瓜","upload/photo/2015-12-01/98b3c66d8c4fe1cc66605505862a799f.jpg"
"f80a9e56","2015-12-01","晚餐","200","一杯double拿铁","upload/photo/2015-12-01/6ee3e7566fc7a7d9b3a91419ad6c59e3.jpg"
"f80a9e56","2015-12-01","夜宵","500","鸡蛋灌饼加里脊培根","upload/photo/2015-12-01/bfac1c6df2322b256396c6a3c4213496.jpg"
"f80a9e56","2015-12-02","早餐","0","无","upload/photo/2015-12-02/a42286bffa2efc024a4e9909d74f3ab8.jpg"
"f80a9e56","2015-12-02","午餐","1100","照烧鸡饭+烤肠+小鸡排+鸡蛋培根生菜芝士手抓饼","upload/photo/2015-12-02/152ea56d609a9c68ab041856f4917bc0.jpg"
"f80a9e56","2015-12-02","晚餐","200","一杯港式茶咖","upload/photo/2015-12-02/bc18bced85c41631765e3205a2048828.jpg"
"f80a9e56","2015-12-02","夜宵","690","烧烤+酸菜鱼+啤酒","upload/photo/2015-12-02/08c18877c56a8fead044202a686fdc12.jpg"
"f80a9e56","2015-12-03","早餐","280","一包饼干，一盒脱脂牛奶","upload/photo/2015-12-03/63b59912e7ed250ee95d3191cb6bce73.jpg"
"f80a9e56","2015-12-03","午餐","600","double拿铁+烤面包夹冰激凌巧克力","upload/photo/2015-12-03/2b6317d46a69886588f42160d6e8e25c.jpg"
"f80a9e56","2015-12-03","晚餐","560","水果蛋包饭+鸡排","upload/photo/2015-12-03/5bcbc0a2db710d5aa865f053dbe5c784.jpg"
"f80a9e56","2015-12-03","夜宵","200","黑芝麻糊+麦片","upload/photo/2015-12-03/6761ff8772b88833341d4e44a8568e7f.jpg"
"f80a9e56","2015-12-04","早餐","450","两个手撕面包一盒脱脂奶","upload/photo/2015-12-04/94e8eab4fb28db40cc13fffa47ae9b50.jpg"
"f80a9e56","2015-12-04","午餐","950","咖喱饭+鸡排+double拿铁(忘了拍照)","upload/photo/2015-12-04/b672eb90ae3bce0a10a0f9343150d3c7.jpg"
"f80a9e56","2015-12-04","晚餐","1050","鲷鱼芝士饭+培根卷香肠+玉米浓汤加酥皮","upload/photo/2015-12-04/4843849c42e126d7af076f38da0f6b61.jpg"
"f80a9e56","2015-12-04","夜宵","100","黑芝麻糊","upload/photo/2015-12-04/a5e83691fb882cd83b6b7b988042aebf.jpg"
"f80a9e56","2015-12-05","早餐","0","无","upload/photo/2015-12-05/2b6c7375610a8ad9fb0b45c0e264f5e0.jpg"
"f80a9e56","2015-12-05","午餐","650","面包夹冰激凌*2+2.5倍拿铁","upload/photo/2015-12-05/5df61af36581379024c71a92ba870160.jpg"
"f80a9e56","2015-12-05","晚餐","300","两个苹果两个香蕉","upload/photo/2015-12-05/6d1e003cddf777b2b93547f26a6ebc46.jpg"
"f80a9e56","2015-12-05","下午茶","200","茶布奇诺","upload/photo/2015-12-05/eaf64fcea8202f693236027ec0d35eb3.jpg"
"f80a9e56","2015-12-05","夜宵","100","黑芝麻糊","upload/photo/2015-12-05/42cfaa2f763f7791830985d9102d4985.jpg"
"f80a9e56","2015-12-06","早餐","100","一根香蕉","upload/photo/2015-12-06/bfed41a8ce2245b23a5140955d73829c.jpg"
"f80a9e56","2015-12-06","午餐","350","玉米排骨汤加米","upload/photo/2015-12-06/321de07fb827b5faffde5acf38aa0816.jpg"
"f80a9e56","2015-12-06","晚餐","910","鸭腿，笋炒肉，炸带鱼，米","upload/photo/2015-12-06/dbfd36473563648ec0aa190df403d44b.jpg"
"f80a9e56","2015-12-06","夜宵","150","蒸汽牛奶","upload/photo/2015-12-06/89c9e71cb86338550e260edb0a6e55ed.jpg"
"f80a9e56","2015-12-07","早餐","550","两个手撕面包一盒脱脂牛奶一根香蕉","upload/photo/2015-12-07/c19759a694e25036241a9f103e8455a1.jpg"
"f80a9e56","2015-12-07","午餐","760","白菜豆腐，盐酥鸭，酱鸭，土豆泥","upload/photo/2015-12-07/f1b1a131cd3e034df391921a99723488.jpg"
"f80a9e56","2015-12-07","晚餐","1050","一个苹果，一碗老鸭粉丝汤，一杯红茶拿铁","upload/photo/2015-12-07/016de45baf86fcf1c2788870dd8ab093.jpg"
