"编号","日期","类型","热量/kcal","餐品描述","照片"
"fbea1752","2015-12-01","早餐","193","六枚红枣 一盒纯牛奶","upload/photo/2015-12-01/1a26897ed00ff87f09b67378728c7c0d.jpg"
"fbea1752","2015-12-01","午餐","975","三餐 黄焖鸡米饭","upload/photo/2015-12-01/9a9c927b110d39880c5c0341fdcf5211.jpg"
"fbea1752","2015-12-01","晚餐","388","咖喱牛腩饭","upload/photo/2015-12-01/08d6b5b5d2c2307f7d3a023e5b2345fb.jpg"
"fbea1752","2015-12-01","夜宵","170","全家黑芝麻味冰淇淋","upload/photo/2015-12-01/1dd51d88428c280639531753faf0e8a8.jpg"
"fbea1752","2015-12-02","早餐","630","两个包子 一盒纯牛奶","upload/photo/2015-12-02/3919a7f7ed86ce745570efb64c729d82.jpg"
"fbea1752","2015-12-02","午餐","605","极客 芝士肥牛饭","upload/photo/2015-12-02/4f1f878aed5ac43b7d30962353296463.jpg"
"fbea1752","2015-12-02","晚餐","698","三餐 红烧排骨面","upload/photo/2015-12-02/69f56b92a93170506403af7af66f2cee.jpg"
"fbea1752","2015-12-03","早餐","410","一盒酸奶 一盒Q蒂【两枚巧克力蛋糕】","upload/photo/2015-12-03/54fe79cea3efe3186800dc7d6966fff2.jpg"
"fbea1752","2015-12-03","午餐","972","扁豆 鸡腿 二两米饭 紫菜汤","upload/photo/2015-12-03/ec47ecd1616aa6db9e02ed9b1f051c1e.jpg"
"fbea1752","2015-12-03","晚餐","400","AD钙奶 膨化饼干 好丽友派【两枚】","upload/photo/2015-12-03/9ef268858372a3b2355f0d2b2e90bc4b.jpg"
"fbea1752","2015-12-04","早餐","202","一盒酸奶 两枚沙琪玛","upload/photo/2015-12-04/a916e6145f40fb360180f77ac081e166.jpg"
"fbea1752","2015-12-04","午餐","909","四个包子 一盒纯牛奶","upload/photo/2015-12-04/7150e17bfeadd8887d9eb027da3543bc.jpg"
"fbea1752","2015-12-04","晚餐","956","黄焖鸡米饭","upload/photo/2015-12-04/4d4968c4addea2897d04cf10e283a6ed.jpg"
"fbea1752","2015-12-05","早餐","465","一个鸡蛋饼 一盒纯牛奶","upload/photo/2015-12-05/748eddc2b794a445923396475b6d1556.jpg"
"fbea1752","2015-12-05","午餐","686","一碗绿豆汤 三个肉包子","upload/photo/2015-12-05/c4c4f6ca3586dcf5d1c7e8894dfb30ef.jpg"
"fbea1752","2015-12-05","晚餐","780","番茄牛腩面","upload/photo/2015-12-05/c6dfc1742089c14e6004866fc57457d1.jpg"
"fbea1752","2015-12-06","早餐","455","三明治 牛奶","upload/photo/2015-12-06/b85c4ce91a40ed018900885fd64abc0c.jpg"
"fbea1752","2015-12-06","午餐","948","咖喱猪排饭","upload/photo/2015-12-06/fcf8eba64201658c55886c5a13103541.jpg"
"fbea1752","2015-12-06","晚餐","658","水饺","upload/photo/2015-12-06/11eaada5de48f0e0f297d599e81072fa.jpg"
"fbea1752","2015-12-07","早餐","88","苏打饼干 五块","upload/photo/2015-12-07/e3f25e0a18ff5102ce6967310d1f62a4.jpg"
"fbea1752","2015-12-07","午餐","1018","三餐 铁板烧","upload/photo/2015-12-07/3bd00aff33c081bdccbfd6fece9d6897.jpg"
"fbea1752","2015-12-07","晚餐","799","扁豆 咖喱土豆 二两米","upload/photo/2015-12-07/1512d50a401e3f8ce0d914f1974007b1.jpg"
"fbea1752","2015-12-08","早餐","420","两个包子","upload/photo/2015-12-08/30f5a58096c4b2abdcb294cfb42aba4b.jpg"
"fbea1752","2015-12-08","午餐","1005","土耳其烤肉饭","upload/photo/2015-12-08/a47c397df8569361c77d65de176bec54.jpg"
"fbea1752","2015-12-08","晚餐","1005","土耳其烤肉饭","upload/photo/2015-12-08/d8add557de302b3b56335850567da24d.jpg"
