"编号","日期","类型","热量/kcal","餐品描述","照片"
"fcb4fcb4","2015-12-01","早餐","374","豆沙面包 2个","upload/photo/2015-12-01/bcd778bcd49e18f5dc1b87ec4e504d73.jpg"
"fcb4fcb4","2015-12-01","午餐","574","就是正常的自选菜~米饭吃了一两","upload/photo/2015-12-01/a8251c0abb9d6a03cf814d1ae9260047.jpeg"
"fcb4fcb4","2015-12-01","晚餐","375.48","对不起吃了一半才想起来orz全家三明治！1571kj！","upload/photo/2015-12-01/8ce102f6af67bb0853710f8613dcad69.jpeg"
"fcb4fcb4","2015-12-01","夜宵","152.29","一杯萌萌哒味全酸奶！猕猴桃味~180g~","upload/photo/2015-12-01/a2393342e2af37671890f45ca9600be8.jpeg"
"fcb4fcb4","2015-12-02","早餐","0","因为下雨了所以没有吃QAQ听说随便传一张照片就可以？？0v0","upload/photo/2015-12-02/cb2532de0b5d60b216ca9d5fb4ec21dd.jpeg"
"fcb4fcb4","2015-12-02","午餐","581","一碗难吃的川味牛肉面_(:3」∠)_","upload/photo/2015-12-02/914a0e403b6c54f55f0cba42fd0beef1.jpeg"
"fcb4fcb4","2015-12-02","晚餐","703.67","红豆燕麦奶茶（半糖）+菜饼（加了里脊和芝士）今天吃的太不健康了我面壁QAQ","upload/photo/2015-12-02/00ed1b8ccadcf5f8f43d54ca5fdf7056.jpeg"
"fcb4fcb4","2015-12-03","早餐","444","一包可爱的黄油曲奇！里面有四个大概一元硬币大小","upload/photo/2015-12-03/c2cee36026c09d90c2005c8c64342443.jpg"
"fcb4fcb4","2015-12-03","午餐","473.56","绿园的金枪鱼石锅拌饭（大概吃了三分之二。。剩下的让男票吃啦并没有浪费！）","upload/photo/2015-12-03/4d662e45ba9ab47966bfc69e5b5544c4.jpg"
"fcb4fcb4","2015-12-03","晚餐","134.91","85%的黑巧克力吃了20g左右。。还有一个橘子(´･_･`)","upload/photo/2015-12-03/eab42ee03da6966d7fc45d01270b7372.jpeg"
"fcb4fcb4","2015-12-03","夜宵","500","果然我会忍不住吃夜宵","upload/photo/2015-12-03/4b476661b7593d852b020be6beef5286.jpeg"
"fcb4fcb4","2015-12-04","早餐","73","一杯酒酿蛋和一个南瓜饼","upload/photo/2015-12-04/6b7c62921e21e2bf07ab06c4eb57037b.jpg"
"fcb4fcb4","2015-12-04","午餐","0","中午在忙并没有吃QAQ随意传张图咯","upload/photo/2015-12-04/c15ac604a82e704946c96b16f548e99c.jpeg"
"fcb4fcb4","2015-12-04","晚餐","151","外卖，状元及第粥和四个花枝丸0.0","upload/photo/2015-12-04/2f18b232da0e310f266a868a958426dd.jpeg"
"fcb4fcb4","2015-12-05","早餐","0","周六睡个懒觉嘛没有吃啦(・ω・)ノ","upload/photo/2015-12-05/23d263fedd6bcc12127c872f2bd913cc.jpeg"
"fcb4fcb4","2015-12-05","午餐","723.6799999999999","春饼 吃了图上的三分之一大概 菜有京酱肉丝豆芽炒粉东北拉皮和锅包肉","upload/photo/2015-12-05/84bd9044f120a24d98bb89b4a5ccdc0e.jpeg"
"fcb4fcb4","2015-12-05","晚餐","0","晚上没有吃orz所以我今天就吃了一顿饭orz","upload/photo/2015-12-05/71a5f5ff1676803313e41e62c8cfe83c.jpeg"
"fcb4fcb4","2015-12-06","早餐","254","方块小面包两个","upload/photo/2015-12-06/0e8202559633012ed417478a4d9ea8a7.jpeg"
"fcb4fcb4","2015-12-06","午餐","534.1900000000001","一个吃完了的砂锅","upload/photo/2015-12-06/b73894b249a2b5d4593a03ae11bd1a0b.jpeg"
"fcb4fcb4","2015-12-06","晚餐","674.53","三汁焖锅0.0这个锅大概吃了三分之一","upload/photo/2015-12-06/db55c4b25a907998034e4f6202094f7f.jpeg"
"fcb4fcb4","2015-12-06","夜宵","264","乳酪蛋糕一块！大概是图上的九分之一……大棒菌你晚上审核真的不会饿吗","upload/photo/2015-12-06/d465ffd2fa0648e64c1c6707a21eacc3.jpeg"
"fcb4fcb4","2015-12-07","早餐","0","没有吃呜呜呜","upload/photo/2015-12-07/be648ccc42a53300106ae6d0c0abd4df.jpeg"
"fcb4fcb4","2015-12-07","午餐","561","外卖0.0鸭腿卤肉饭","upload/photo/2015-12-07/3ad14013a4fcd1089810cc8f9c5eb866.jpg"
"fcb4fcb4","2015-12-07","晚餐","306.45","吃完了的样子","upload/photo/2015-12-07/5b0b95bd8b84ac795bc49051c1ea620f.jpeg"
