"编号","日期","类型","热量/kcal","餐品描述","照片"
"fe578f44","2015-12-01","早餐","0","无（很少吃早餐）","upload/photo/2015-12-01/0fbc3ce6f9f5d2d3c25442557ef7e651.jpg"
"fe578f44","2015-12-01","午餐","724","米饭 番茄炒蛋 肉丸汤 豆腐 干爆鸭","upload/photo/2015-12-01/1167e9771f513ed7a0c20b6193cf5a86.jpg"
"fe578f44","2015-12-01","晚餐","724","番茄炒蛋 干爆鸭 鱼香肉丝 米饭（与午餐大体一致）","upload/photo/2015-12-01/10b8e9f7845223490810b193abc076f8.jpg"
"fe578f44","2015-12-02","早餐","455","牛奶+蛋黄派","upload/photo/2015-12-02/857e01ac7619fb99a6ff381ca37473bd.jpg"
"fe578f44","2015-12-02","午餐","748","外卖（肥牛饭）","upload/photo/2015-12-02/1d9cc23ab4c2e9a923a51c2286547508.jpg"
"fe578f44","2015-12-02","晚餐","785","薯片+果粒橙 （没有食欲）","upload/photo/2015-12-02/4e2976945d287388913ac712348eaa9d.jpg"
"fe578f44","2015-12-03","早餐","0","无","upload/photo/2015-12-03/1abf9311a05dbe74e9ccaf5b6cca7534.jpg"
"fe578f44","2015-12-03","午餐","709","果粒奶优 铜锣烧 三明治","upload/photo/2015-12-03/f55762478015a6ff075756bfd862bf88.jpg"
"fe578f44","2015-12-03","晚餐","607","外卖（肥牛饭 鸡块）","upload/photo/2015-12-03/5301d6c678c05678a9f0b61f0d13dd36.jpg"
"fe578f44","2015-12-04","早餐","583","优酸乳+蛋黄派","upload/photo/2015-12-04/1dc8ca6e2fc9edcecfe56841bbe47cf5.jpg"
"fe578f44","2015-12-04","午餐","412","肥牛饭+蔬菜沙拉","upload/photo/2015-12-04/57e6fe85828642d95e5c3c7e7610eecb.jpg"
"fe578f44","2015-12-04","晚餐","391","米饭 鸭腿 黄瓜","upload/photo/2015-12-04/ca317db3b80f371897dc45a13908300e.jpg"
"fe578f44","2015-12-05","早餐","0","无","upload/photo/2015-12-05/c07ca498aab79f5e041011678e2397b4.jpg"
"fe578f44","2015-12-05","午餐","607","肥牛饭","upload/photo/2015-12-05/4c76c97ca6c4b605f1dd5c1214287fb7.jpg"
"fe578f44","2015-12-05","晚餐","509","肥牛饭+蔬菜","upload/photo/2015-12-05/13c0e41f179e9672a894577457639bca.jpg"
"fe578f44","2015-12-06","早餐","0","无","upload/photo/2015-12-06/b2a72fca5b582acde2abf26857cb3ee7.jpg"
"fe578f44","2015-12-06","午餐","724","一餐食堂二楼 豆腐 番茄炒蛋 肉","upload/photo/2015-12-06/4210a01b0041f7b618f219f6d89bd13e.jpg"
"fe578f44","2015-12-06","晚餐","577","果粒奶优 + 饼干","upload/photo/2015-12-06/7e924bd7eec64dc25155628320cf93ac.jpg"
"fe578f44","2015-12-07","早餐","179","酸奶 蛋黄派","upload/photo/2015-12-07/3586f284abbf09043eacf2dc49f9612e.jpg"
"fe578f44","2015-12-07","午餐","0","无","upload/photo/2015-12-07/deb675ca0254264448b6ff1d46252b1c.jpg"
"fe578f44","2015-12-07","晚餐","442","哈乐餐厅咖喱饭（照片遗失）","upload/photo/2015-12-07/dcb5acc22bfd54e2d5255f28347a17ae.jpg"
