"编号","日期","入睡时间","睡眠时长","睡眠质量（1-10）","单日步数/步","自行车骑行时长/min","体育锻炼记录","思考用脑时长/min","有无服用抗生素","是否排泄规律"
"026a7d8f","2015-12-01","1点到2点","7h到8h","8","0","20","跑步1km","1440","0","1"
"026a7d8f","2015-12-02","1点到2点","7h到8h","8","0","10","跑步500m","1440","0","1"
"026a7d8f","2015-12-03","1点到2点","7h到8h","8","0","10","跑步500m","1440","0","1"
"026a7d8f","2015-12-04","2点以后","7h到8h","8","0","10","无","1440","0","1"
"026a7d8f","2015-12-05","24点到1点","大于8小时","8","0","0","0","1440","0","1"
"026a7d8f","2015-12-06","1点到2点","大于8小时","8","0","0","0","1440","0","1"
"026a7d8f","2015-12-07","1点到2点","大于8小时","9","0","0","1km","1440","0","0"
"026a7d8f","2015-12-08","1点到2点","7h到8h","8","0","0","1km","1440","0","1"
"0328a42b","2015-12-01","24点到1点","7h到8h","10","1000","30","无","8小时","1","1"
"0328a42b","2015-12-02","24点到1点","6h到7h","10","5000","30","无","6H","1","1"
"0328a42b","2015-12-03","24点到1点","6h到7h","10","5000","30","无","8H","1","1"
"0328a42b","2015-12-04","24点到1点","6h到7h","10","5000","30","无","8H","1","1"
"0328a42b","2015-12-05","24点到1点","6h到7h","10","15000","0","无","8H","1","1"
"0328a42b","2015-12-06","24点到1点","6h到7h","10","100","0","无","8H","1","1"
"0328a42b","2015-12-07","24点到1点","6h到7h","10","500","30","短跑","8H","1","1"
"06ec0a84","2015-12-01","23点到24点","6h到7h","1","7136","30","篮球比赛","900","0","1"
"06ec0a84","2015-12-02","24点到1点","6h到7h","6","5225","30","行走","600","0","1"
"06ec0a84","2015-12-03","24点到1点","6h到7h","7","7388","40","篮球比赛","600","0","1"
"06ec0a84","2015-12-04","2点以后","小于5小时","6","5250","50","球赛","900","0","1"
"06ec0a84","2015-12-05","23点到24点","6h到7h","7","4700","30","骑车","600","0","1"
"06ec0a84","2015-12-06","23点到24点","6h到7h","8","4677","40","篮球","600","0","1"
"06ec0a84","2015-12-07","24点到1点","6h到7h","7","6318","40","篮球","900","0","1"
"0890d755","2015-12-01","23点到24点","7h到8h","8","5000","40","下午打篮球2小时","3602","0","0"
"0890d755","2015-12-02","23点到24点","6h到7h","8","6000","50","无","6000","0","1"
"0890d755","2015-12-03","23点到24点","6h到7h","8","4500","40","无","360","0","1"
"0890d755","2015-12-04","23点到24点","6h到7h","9","10000","30","无","300","0","1"
"0890d755","2015-12-05","23点到24点","大于8小时","9","3000","30","无","300","0","1"
"0890d755","2015-12-06","24点到1点","6h到7h","8","6000","40","无","120","0","1"
"0890d755","2015-12-07","23点到24点","7h到8h","8","10000","50","无","360","0","1"
"08f68f55","2015-12-01","24点到1点","6h到7h","6","0","40","无","480","0","1"
"08f68f55","2015-12-02","24点到1点","7h到8h","6","5000","40","无","240","0","1"
"08f68f55","2015-12-03","24点到1点","6h到7h","4","0","40","无","600","0","0"
"08f68f55","2015-12-04","24点到1点","7h到8h","6","0","30","体育课，擒拿格斗","500","0","1"
"08f68f55","2015-12-05","24点到1点","7h到8h","6","0","50","无","600","0","1"
"08f68f55","2015-12-06","23点到24点","大于8小时","6","0","0","无","240","0","1"
"08f68f55","2015-12-07","24点到1点","7h到8h","6","0","45","无","238","0","0"
"0a80c1dd","2015-12-01","24点到1点","6h到7h","7","8915","10","散步","60","0","1"
"0a80c1dd","2015-12-02","22点以前","小于5小时","5","9349","50","无","60","0","0"
"0a80c1dd","2015-12-03","22点以前","小于5小时","5","4538","50","无","60","0","0"
"0a80c1dd","2015-12-04","22点以前","小于5小时","6","9009","50","无","50","0","0"
"0a80c1dd","2015-12-05","22点以前","小于5小时","4","6744","50","无","50","0","0"
"0a80c1dd","2015-12-06","22点以前","小于5小时","5","0","50","无","50","0","0"
"0a80c1dd","2015-12-07","22点以前","小于5小时","6","0","40","无","40","0","0"
"0bc2f24f","2015-12-01","23点到24点","大于8小时","7","2000","0","无","120","0","1"
"0bc2f24f","2015-12-02","24点到1点","7h到8h","7","6000","0","无","0","0","0"
"0bc2f24f","2015-12-03","24点到1点","大于8小时","1","1000","0","无","90","0","1"
"0bc2f24f","2015-12-04","24点到1点","大于8小时","1","2000","0","无","100","0","1"
"0bc2f24f","2015-12-05","1点到2点","大于8小时","7","1000","0","无","50","0","1"
"0bc2f24f","2015-12-06","24点到1点","大于8小时","7","1000","0","无","50","0","1"
"0bc2f24f","2015-12-07","23点到24点","大于8小时","9","1000","0","无","40","0","1"
"0c5112d3","2015-12-01","23点到24点","6h到7h","10","4431","0","无","400","0","1"
"0c5112d3","2015-12-02","23点到24点","6h到7h","9","13566","0","慢跑7km","400","0","1"
"0c5112d3","2015-12-03","24点到1点","5h到6h","9","7163","0","无","500","0","1"
"0c5112d3","2015-12-04","24点到1点","5h到6h","9","13338","5","roaming","495","1","1"
"0c5112d3","2015-12-05","24点到1点","大于8小时","9","8960","0","无","300","0","1"
"0c5112d3","2015-12-06","2点以后","7h到8h","9","16685","20","间歇跑","200","0","1"
"0c5112d3","2015-12-07","1点到2点","5h到6h","9","8830","0","abs workout","297","0","1"
"0e13b2c5","2015-12-01","22点到23点","6h到7h","7","3000","0","走路","300","0","1"
"0e13b2c5","2015-12-02","22点以前","小于5小时","7","2256","0","无","3000","0","1"
"0e13b2c5","2015-12-03","22点以前","5h到6h","7","1500","30","无","300","0","1"
"0e13b2c5","2015-12-04","22点以前","5h到6h","7","1520","20","无","300","0","1"
"0e13b2c5","2015-12-05","22点到23点","5h到6h","7","2315","20","无","200","0","1"
"0e13b2c5","2015-12-06","22点到23点","5h到6h","7","5000","0","无","100","0","1"
"0e13b2c5","2015-12-07","22点到23点","5h到6h","7","5000","0","无","100","0","1"
"0e13b2c5","2015-12-08","23点到24点","5h到6h","7","5000","20","无","300","0","1"
"0ffd0774","2015-12-01","1点到2点","5h到6h","8","0","5","滑滑板 5min","1080","0","0"
"0ffd0774","2015-12-02","1点到2点","6h到7h","9","0","0","无","18*24","0","1"
"0ffd0774","2015-12-03","1点到2点","7h到8h","8","0","0","无","1020","0","1"
"0ffd0774","2015-12-04","24点到1点","6h到7h","10","0","0","篮球2h","1020","0","1"
"0ffd0774","2015-12-05","1点到2点","7h到8h","10","0","20","无","1020","0","1"
